IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/NCBITaxon_571,Klebsiella oxytoca,EcoCF.txt::Klebsiella oxytoca,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_573,Klebsiella pneumoniae,EcoCF.txt::Klebsiella pneumoniae,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_59732,Chryseobacterium,EcoCF.txt::Chryseobacterium,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_613,Serratia,EcoCF.txt::Serratia,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_614,Serratia liquefaciens,EcoCF.txt::Serratia liquifaciens,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_615,Serratia marcescens,EcoCF.txt::Serratia marcescens,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_724,Haemophilus,EcoCF.txt::Haemophilus,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_727,Haemophilus influenzae,EcoCF.txt::Haemophilus influenza,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_85698,Achromobacter xylosoxidans,EcoCF.txt::Achromobacter xyloxidans,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_87883,Burkholderia multivorans,EcoCF.txt::Burkholderia multivorans,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCBITaxon_95486,Burkholderia cenocepacia,EcoCF.txt::Burkholderia cenocepacia,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCIT_C120707,Mixed Commensal Flora,EcoCF.txt::Mixed Commensal Flora (MCF),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/NCIT_C83101,Visit number,EcoCF.txt::Visit Number,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,EcoCF.txt::Age (days),"","","","","",EUPATH_0000579,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,EcoCF.txt::Age (years),"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,EcoCF.txt::Collection date,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,EcoCF.txt::host_subject_id,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,EcoCF.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,EcoCF.txt::Sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,EcoCF.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,EcoCF.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,EcoCF.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,EcoCF.txt::body_habitat,"","","","","","","","","","","","","",""
