file	category	id
ext_lab_bv_crp	Household	pid
ext_lab_bv_crp	Observation	pid+vstnum
ext_lab_bv_crp	Participant	pid
ext_lab_bv_crp	Sample	pid+vstnum
ext_lab_bv_ctt	Household	pid
ext_lab_bv_ctt	Observation	pid+vstnum
ext_lab_bv_ctt	Participant	pid
ext_lab_bv_ctt	Sample	pid+vstnum
ext_lab_bv_ctu	Household	pid
ext_lab_bv_ctu	Observation	pid+vstnum
ext_lab_bv_ctu	Participant	pid
ext_lab_bv_ctu	Sample	pid+vstnum
ext_lab_bv_cytbm	Household	pid
ext_lab_bv_cytbm	Observation	pid+vstnum
ext_lab_bv_cytbm	Participant	pid
ext_lab_bv_cytbm	Sample	pid+vstnum
ext_lab_bv_cytcp	Household	pid
ext_lab_bv_cytcp	Observation	pid+vstnum
ext_lab_bv_cytcp	Participant	pid
ext_lab_bv_cytcp	Sample	pid+vstnum
ext_lab_bv_cytmp	Household	pid
ext_lab_bv_cytmp	Observation	pid+vstnum
ext_lab_bv_cytmp	Participant	pid
ext_lab_bv_cytmp	Sample	pid+vstnum
ext_lab_bv_dsgene	Household	pid
ext_lab_bv_dsgene	Observation	pid+vstnum+specdt
ext_lab_bv_dsgene	Participant	pid
ext_lab_bv_dsgene	Sample	pid+vstnum+specdt
ext_lab_bv_egf	Household	pid
ext_lab_bv_egf	Observation	pid+vstnum
ext_lab_bv_egf	Participant	pid
ext_lab_bv_egf	Sample	pid+vstnum
ext_lab_bv_endotox	Household	pid
ext_lab_bv_endotox	Observation	pid+vstnum
ext_lab_bv_endotox	Participant	pid
ext_lab_bv_endotox	Sample	pid+vstnum
ext_lab_bv_fer	Household	pid
ext_lab_bv_fer	Observation	pid+vstnum
ext_lab_bv_fer	Participant	pid
ext_lab_bv_fer	Sample	pid+vstnum
ext_lab_bv_hla	Household	pid
ext_lab_bv_hla	Participant	pid
ext_lab_bv_lep	Household	pid
ext_lab_bv_lep	Participant	pid
ext_lab_bv_lps_upd1	Household	pid
ext_lab_bv_lps_upd1	Observation	pid+vstnum
ext_lab_bv_lps_upd1	Participant	pid
ext_lab_bv_lps_upd1	Sample	pid+vstnum
ext_lab_bv_mfge8	Household	pid
ext_lab_bv_mfge8	Observation	pid+vstnum
ext_lab_bv_mfge8	Participant	pid
ext_lab_bv_mfge8	Sample	pid+vstnum
ext_lab_bv_mpo	Household	pid
ext_lab_bv_mpo	Observation	pid+vstnum
ext_lab_bv_mpo	Participant	pid
ext_lab_bv_mpo	Sample	pid+vstnum
ext_lab_bv_neop	Household	pid
ext_lab_bv_neop	Observation	pid+vstnum
ext_lab_bv_neop	Participant	pid
ext_lab_bv_neop	Sample	pid+vstnum
ext_lab_bv_pals	Household	pid
ext_lab_bv_pals	Observation	pid+vstnum
ext_lab_bv_pals	Participant	pid
ext_lab_bv_pals	Sample	pid+vstnum
ext_lab_bv_pcr	Household	pid
ext_lab_bv_pcr	Observation	pid+vstnum+specdt
ext_lab_bv_pcr	Participant	pid
ext_lab_bv_pcr	Sample	pid+vstnum+specdt
ext_lab_bv_pcrproto	Household	pid
ext_lab_bv_pcrproto	Observation	pid+vstnum+specdt
ext_lab_bv_pcrproto	Participant	pid
ext_lab_bv_pcrproto	Sample	pid+vstnum+specdt
ext_lab_bv_polcul	Household	pid
ext_lab_bv_polcul	Observation	pid+vstnum
ext_lab_bv_polcul	Participant	pid
ext_lab_bv_polcul	Sample	pid+vstnum+vstdetail
ext_lab_bv_polpcr	Household	pid
ext_lab_bv_polpcr	Observation	pid+vstnum
ext_lab_bv_polpcr	Participant	pid
ext_lab_bv_polpcr	Sample	pid+vstnum+vstdetail
ext_lab_bv_polsna_infant_st	Household	pid
ext_lab_bv_polsna_infant_st	Observation	pid+vstnum
ext_lab_bv_polsna_infant_st	Participant	pid
ext_lab_bv_polsna_infant_st	Sample	pid+vstnum
ext_lab_bv_polsna_mother_st	Household	pid
ext_lab_bv_polsna_mother_st	Observation	pid+vstnum
ext_lab_bv_polsna_mother_st	Participant	pid
ext_lab_bv_polsna_mother_st	Sample	pid+vstnum
ext_lab_bv_qpcr	Household	pid
ext_lab_bv_qpcr	Observation	pid+vstnum
ext_lab_bv_qpcr	Participant	pid
ext_lab_bv_qpcr	Sample	pid+vstnum+vstdetail
ext_lab_bv_rals	Household	pid
ext_lab_bv_rals	Observation	pid+vstnum
ext_lab_bv_rals	Participant	pid
ext_lab_bv_rals	Sample	pid+vstnum
ext_lab_bv_rbmiga	Household	pid
ext_lab_bv_rbmiga	Observation	pid+vstnum
ext_lab_bv_rbmiga	Participant	pid
ext_lab_bv_rbmiga	Sample	pid+vstnum
ext_lab_bv_rbp	Household	pid
ext_lab_bv_rbp	Observation	pid+vstnum
ext_lab_bv_rbp	Participant	pid
ext_lab_bv_rbp	Sample	pid+vstnum
ext_lab_bv_reg1b_upd1	Household	pid
ext_lab_bv_reg1b_upd1	Observation	pid+vstnum
ext_lab_bv_reg1b_upd1	Participant	pid
ext_lab_bv_reg1b_upd1	Sample	pid+vstnum
ext_lab_bv_rotavs	Household	pid
ext_lab_bv_rotavs	Observation	pid+vstnum
ext_lab_bv_rotavs	Participant	pid
ext_lab_bv_rotavs	Sample	pid+vstnum+vstdetail
ext_lab_bv_rpliga	Household	pid
ext_lab_bv_rpliga	Observation	pid+vstnum
ext_lab_bv_rpliga	Participant	pid
ext_lab_bv_rpliga	Sample	pid+vstnum
ext_lab_bv_rpligg	Household	pid
ext_lab_bv_rpligg	Observation	pid+vstnum
ext_lab_bv_rpligg	Participant	pid
ext_lab_bv_rpligg	Sample	pid+vstnum
ext_lab_bv_rptype	Household	pid
ext_lab_bv_rptype	Participant	pid
ext_lab_bv_scd14	Household	pid
ext_lab_bv_scd14	Observation	pid+vstnum
ext_lab_bv_scd14	Participant	pid
ext_lab_bv_scd14	Sample	pid+vstnum
ext_lab_bv_speclog_bm_st	Household	pid
ext_lab_bv_speclog_bm_st	Observation	pid+vstnum
ext_lab_bv_speclog_bm_st	Participant	pid
ext_lab_bv_speclog_bm_st	Sample	pid+vstnum
ext_lab_bv_speclog_cs_st	Household	pid
ext_lab_bv_speclog_cs_st	Observation	pid+vstnum
ext_lab_bv_speclog_cs_st	Participant	pid
ext_lab_bv_speclog_cs_st	Sample	pid+vstnum
ext_lab_bv_speclog_ds_st	Household	pid
ext_lab_bv_speclog_ds_st	Observation	pid+vstnum+specdt
ext_lab_bv_speclog_ds_st	Participant	pid
ext_lab_bv_speclog_ds_st	Sample	pid+vstnum+specdt
