Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
China: Hubei Province, Jinzhou City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Pengze County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Qianjiang City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Wuhan City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Province, Yangxin County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei Wuhan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hubei, Wuhan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan Changsha	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan Province, Huarong County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan Province, Lixian County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan Province, Xiangyin County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan Yuyanglou distrit	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan junshan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Changde	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Changsha	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Junshan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Miluo	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Yueyanglou	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Hunan, Yueyanglou district	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangsu Province, Zhenjiang City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangsu Wuxi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangsu, Wuxi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi Province, Pengze County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi Province, Xinjian County	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi Yongixiu	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi, Yongxiu	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiangxi, yongxiu	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiansu, Wuxi	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Jiaxing, Zhejiang	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Junshan, Hunan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Maoshan, Sichuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Mianzhu District, Sichuan Province	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Mianzhu, Sichuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Sichuan Province, Xichang City	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Sichuan, Maoshan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Sichuan, Tianquan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Sichuan, Xichang	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Tianquan, Sichuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Xichang, Sichuan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Xichuan Maoshan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Xichuan Tianquan	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
China: Xichuan Xichang	China	http://purl.obolibrary.org/obo/GAZ_00002845	China
