Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Camptostoma obsoletum	other bird	http://purl.obolibrary.org/obo/NCBITaxon_456367	Camptostoma obsoletum
Campylorhynchus yucatanicus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_330149	Campylorhynchus yucatanicus
Canary (Serinus canaria)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9135	Serinus canaria
Cantorchilus leucotis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241539	Thryothorus leucotis
Cardinalis cardinalis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_98964	Cardinalis cardinalis
Cardinalis phoeniceus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_56327	Cardinalis phoeniceus
Cercomela fusca	other bird	http://purl.obolibrary.org/obo/NCBITaxon_693027	Cercomela fusca
Cercotrichas galactotes	other bird	http://purl.obolibrary.org/obo/NCBITaxon_869901	Cercotrichas galactotes
Cercotrichas podobe	other bird	http://purl.obolibrary.org/obo/NCBITaxon_757454	Cercotrichas podobe
chaffinch	other bird		
Chalcomitra rubescens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570429	Chalcomitra
Chamaeza campanisona	other bird	http://purl.obolibrary.org/obo/NCBITaxon_255366	Chamaeza campanisona
Chasiempis sandwichensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_291285	Chasiempis sandwichensis
Chinese collared finchbill (Spizixos semitorques semitorques)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241747	Spizixos semitorques
Cicinnurus regius (king bird-of-paradise)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_36263	Cicinnurus regius
Cinclidium leucurum	other bird	http://purl.obolibrary.org/obo/NCBITaxon_757457	Cinclidium
Cinclocerthia ruficauda	other bird	http://purl.obolibrary.org/obo/NCBITaxon_58197	Cinclocerthia ruficauda
Cinnyris chloropygius	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570433	Cinnyris
Cinnyris coquerellii	other bird	http://purl.obolibrary.org/obo/NCBITaxon_234090	Cinnyris coquerellii
Cinnyris dussumieri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570433	Cinnyris
Cinnyris preussi	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570433	Cinnyris
Cinnyris sovimanga	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570433	Cinnyris
Circus aeruginosus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_8964	Circus aeruginosus
Cnemotriccus fuscatus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_183540	Cnemotriccus fuscatus
Coereba flaveola	other bird	http://purl.obolibrary.org/obo/NCBITaxon_87177	Coereba flaveola
Colluricincla boweri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_675632	Colluricincla boweri
Columba livia	other bird	http://purl.obolibrary.org/obo/NCBITaxon_8932	Columba livia
Conopophaga lineata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_137518	Conopophaga lineata
Conopophaga melanops	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1109036	Conopophaga melanops
Copsychus luzoniensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_512571	Copsychus luzoniensis
Cossypha natalensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_473863	Cossypha natalensis
Cossypha niveicapilla	other bird	http://purl.obolibrary.org/obo/NCBITaxon_228316	Cossypha niveicapilla
Coturnix coturnix	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9091	Coturnix coturnix
cowbird (Molothrus ater)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84834	Molothrus ater
Cowbird (Molothrus ater)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84834	Molothrus ater
Cracticus quoyi	other bird	http://purl.obolibrary.org/obo/NCBITaxon_254525	Cracticus quoyi
Cyanistes caeruleus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_156563	Cyanistes caeruleus
Cyanocompsa brissonii (ultramarine grosbeak)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_164627	Cyanocompsa brissonii
Cyanocompsa cyanoides	other bird	http://purl.obolibrary.org/obo/NCBITaxon_164628	Cyanocompsa cyanoides
Cyanomitra cyanolaema	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570436	Cyanomitra cyanolaema
Cyanomitra obscura	other bird	http://purl.obolibrary.org/obo/NCBITaxon_530140	Cyanomitra obscura
Cyanomitra olivacea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_543285	Cyanomitra olivacea
Cyanomitra oritis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_530139	Cyanomitra
Cyanomitra verticalis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570437	Cyanomitra verticalis
Cypsnagra hirundinacea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_62187	Cypsnagra hirundinacea
Deleornis fraseri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570439	Deleornis fraseri
Delichon urbica	other bird	http://purl.obolibrary.org/obo/NCBITaxon_88116	Delichon urbicum
Dendrocincla turdina	other bird	http://purl.obolibrary.org/obo/NCBITaxon_555242	Dendrocincla turdina
Dicrurus adsimilis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175003	Dicrurus adsimilis
Dicrurus adsimilis coracinus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175003	Dicrurus adsimilis
Dinemellia dinemelli	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241763	Dinemellia dinemelli
domestic fowl	other bird		
double-crested cormorant (Phalacrocorax auritus)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_56069	Phalacrocorax auritus
Dumetella carolinensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_111981	Dumetella carolinensis
Eastern blue-winged sivia (Minla cyanouroptera cyanouroptera)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_201347	Minla cyanouroptera
Eastern golden-breasted starling (Cosmopsarus regius magnificus)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241739	Cosmopsarus regius
Eastern white-starred bush robin (Pogonocichla stellata orientalis)	other bird		
Elaenia albiceps	other bird	http://purl.obolibrary.org/obo/NCBITaxon_265623	Elaenia albiceps
Elaenia chiriquensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_198472	Elaenia chiriquensis
Elaenia cristata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_478597	Elaenia cristata
Elenia martinica	other bird		
Emberiza citrinella	other bird	http://purl.obolibrary.org/obo/NCBITaxon_37595	Emberiza citrinella
Emberiza hortulana	other bird	http://purl.obolibrary.org/obo/NCBITaxon_498208	Emberiza hortulana
Emberiza rutila	other bird	http://purl.obolibrary.org/obo/NCBITaxon_267979	Emberiza rutila
Emberiza spodocephala	other bird	http://purl.obolibrary.org/obo/NCBITaxon_125294	Emberiza spodocephala
Emerald starling (Lamprotornis iris)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241774	Lamprotornis iris
Erithacus komadori	other bird	http://purl.obolibrary.org/obo/NCBITaxon_347943	Erithacus komadori
Eulecestoma nigripectus	other bird		
Euneornis campestris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_200194	Euneornis campestris
Euphonia chlorotica	other bird	http://purl.obolibrary.org/obo/NCBITaxon_221972	Euphonia chlorotica
Euphonia violacea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1105364	Euphonia violacea
Euplectes orix	other bird	http://purl.obolibrary.org/obo/NCBITaxon_229098	Euplectes orix
Ficedula albicollis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_59894	Ficedula albicollis
Ficedula albicollis (collared flycatcher)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_59894	Ficedula albicollis
Formicarius colma	other bird	http://purl.obolibrary.org/obo/NCBITaxon_81884	Formicarius colma
Formicivora grisea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_88171	Formicivora grisea
Formicivora melanogaster	other bird	http://purl.obolibrary.org/obo/NCBITaxon_867203	Formicivora melanogaster
Formicivora serrana	other bird	http://purl.obolibrary.org/obo/NCBITaxon_464283	Formicivora serrana
Foudia eminentissima	other bird	http://purl.obolibrary.org/obo/NCBITaxon_441684	Foudia eminentissima
Foudia flavicans	other bird	http://purl.obolibrary.org/obo/NCBITaxon_441688	Foudia flavicans
Foudia madagascarensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_441682	Foudia
Foudia madagascariensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_441683	Foudia madagascariensis
Foudia seychellarum	other bird	http://purl.obolibrary.org/obo/NCBITaxon_441682	Foudia
Foulehaio carunculata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_266356	Foulehaio carunculatus
Francolinus lathami	other bird	http://purl.obolibrary.org/obo/NCBITaxon_388979	Francolinus lathami
Fraseria cinerascens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570449	Fraseria cinerascens
Fringilla coelebs	other bird	http://purl.obolibrary.org/obo/NCBITaxon_37598	Fringilla coelebs
Fulica atra	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9121	Fulica atra
Furnarius rufus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_81886	Furnarius rufus
Galbula ruficauda	other bird	http://purl.obolibrary.org/obo/NCBITaxon_176937	Galbula ruficauda
Galerida cristata (Crested Lark)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_215306	Galerida cristata
Garrulus glandarius	other bird	http://purl.obolibrary.org/obo/NCBITaxon_56783	Garrulus glandarius
Geococcyx californianus (greater roadrunner)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_8947	Geococcyx californianus
Gnorimopsar chopi	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84803	Gnorimopsar chopi
Grosbeak starling (Scissirostrum dubium)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241745	Scissirostrum dubium
Guianan turquoise tanager (Tangara mexicana mexicana)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_194947	Tangara mexicana
Guinea Fowl	other bird		
Halcyon chloris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_170865	Halcyon
Hedydipna collaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570451	Hedydipna collaris
Hemiphaga novaeseelandiae	other bird	http://purl.obolibrary.org/obo/NCBITaxon_262124	Hemiphaga novaeseelandiae
Hemiphaga novaeseelandiae (New Zealand pigeon)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_262124	Hemiphaga novaeseelandiae
Hemithraupis guira	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1109044	Hemithraupis guira
Heteromyias albispecularis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_38565	Poecilodryas albispecularis
Himalayan grey-headed bullfinch (Pyrrhula erythaca erythaca)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175815	Pyrrhula erythaca
Himatione sanguinea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_64801	Himatione sanguinea
Humblotia flavirostris	other bird		
Hylocryptus rectirostris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1094410	Hylocryptus rectirostris
Hylophilus pectoralis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_999515	Hylophilus pectoralis
Hypothymis azurrea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_107209	Hypothymis
Icteria virens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_135437	Icteria virens
Icteria virens (SL-18)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_135437	Icteria virens
Icterus cayanensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84805	Icterus cayanensis
Icterus nigrogularis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84827	Icterus nigrogularis
Ilicura militaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_208056	Ilicura militaris
Illadopsis cleaveri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_201329	Illadopsis cleaveri
Illadopsis rufipennis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_526177	Illadopsis rufipennis
Ixobrychus flavicollis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_110684	Ixobrychus
Ixobrychus minutus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_498209	Ixobrychus minutus
Ixodes ricinus (tick from bird)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_34613	Ixodes ricinus
Lalage leucomela	other bird	http://purl.obolibrary.org/obo/NCBITaxon_254546	Lalage leucomela
Lamprotornis purpureiceps	other bird	http://purl.obolibrary.org/obo/NCBITaxon_451405	Lamprotornis purpureiceps
Lamprotornis splendidus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_245041	Lamprotornis splendidus
Lanius cristatus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_337178	Lanius cristatus
Larosterna inca	other bird	http://purl.obolibrary.org/obo/NCBITaxon_297811	Larosterna inca
Leiothrix argentauris (Silver-eared Liocichla)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_201335	Leiothrix argentauris
Leiothrix lutea (Red-billed Leiothrix)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_36275	Leiothrix lutea
Lepidothrix coronata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_321398	Lepidothrix coronata
Leptocoma sericea (black sunbird)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_632601	Leptocoma sericea
Leptopogon amaurocephalus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_196035	Leptopogon amaurocephalus
Lichenostomus frenatus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_998102	Lichenostomus frenatus
Lichenostomus versicolor	other bird	http://purl.obolibrary.org/obo/NCBITaxon_998108	Lichenostomus versicolor
Luscina svecica	other bird		
Luscinia megarhynchos	other bird	http://purl.obolibrary.org/obo/NCBITaxon_383689	Luscinia megarhynchos
Luscinia svecica	other bird	http://purl.obolibrary.org/obo/NCBITaxon_52792	Luscinia svecica
Luscinia svecica azuricollis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_52792	Luscinia svecica
Malacoptila striata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1109064	Malacoptila striata
Malimbus nitens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570453	Malimbus nitens
Margarops fuscus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_111986	Margarops fuscus
Mauritian columbids	other bird		
Meliphaga analoga	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175007	Meliphaga analoga
Meliphaga aruensis (puff-backed honeyeater)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_390647	Meliphaga aruensis
Meliphaga notata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_390649	Meliphaga notata
Melopsittacus undulatus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_13146	Melopsittacus undulatus
Merops apiaster	other bird	http://purl.obolibrary.org/obo/NCBITaxon_265611	Merops apiaster
Merops malimbicus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_457342	Merops malimbicus
Mimus gilvus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_111998	Mimus gilvus
Mimus saturninus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_165194	Mimus saturninus
Molothrus ater	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84834	Molothrus ater
Molothrus bonariensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84836	Molothrus bonariensis
Monarcha kaupi	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175125	Monarcha
Monarcha trivirgatus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_381029	Monarcha trivirgatus
Monasa nigrifrons	other bird	http://purl.obolibrary.org/obo/NCBITaxon_882749	Monasa nigrifrons
Motacilla alba	other bird	http://purl.obolibrary.org/obo/NCBITaxon_45807	Motacilla alba
Motacilla flava	other bird	http://purl.obolibrary.org/obo/NCBITaxon_180448	Motacilla flava
Muscicapa olivascens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570454	Muscicapa olivascens
Muscicapa striata	other bird		
Mycteria americana	other bird	http://purl.obolibrary.org/obo/NCBITaxon_33587	Mycteria americana
Myiagra alecto	other bird	http://purl.obolibrary.org/obo/NCBITaxon_338447	Myiagra alecto
Myiarchus swainsoni	other bird	http://purl.obolibrary.org/obo/NCBITaxon_204059	Myiarchus swainsoni
Myiarchus tyrannulus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_196038	Myiarchus tyrannulus
Myiopagis caniceps	other bird	http://purl.obolibrary.org/obo/NCBITaxon_478611	Myiopagis caniceps
Myzomela cardinalis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_265620	Myzomela cardinalis
Nectarinia aspasia	other bird	http://purl.obolibrary.org/obo/NCBITaxon_632601	Leptocoma sericea
Nectarinia coquereli	other bird	http://purl.obolibrary.org/obo/NCBITaxon_234090	Cinnyris coquerellii
Nectarinia humbloti	other bird	http://purl.obolibrary.org/obo/NCBITaxon_234092	Nectarinia humbloti
Nectarinia notata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_234095	Nectarinia notata
Nectarinia olivacea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_170863	Nectarinia olivacea
Neothraupis fasciata	other bird	http://purl.obolibrary.org/obo/NCBITaxon_62226	Neothraupis fasciata
Nicator chloris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_237433	Nicator chloris
Niltava sundara	other bird	http://purl.obolibrary.org/obo/NCBITaxon_427698	Niltava sundara
Northern blue dacnis (Dacnis cayana ultramarina)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_62189	Dacnis cayana
Northern white-headed buffalo weaver (Dinemellia dinemelli dinemelli)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241763	Dinemellia dinemelli
Notiomystis cincta	other bird	http://purl.obolibrary.org/obo/NCBITaxon_366454	Notiomystis cincta
Numida meleagris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_8996	Numida meleagris
Nymphicus hollandicus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_13180	Nymphicus hollandicus
Nymphicus hollandicus (cockatiel)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_13180	Nymphicus hollandicus
Nymphicus hollandicus (cockatieli)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_13180	Nymphicus hollandicus
Oriolus brachyrhynchus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570455	Oriolus brachyrhynchus
Pachycephala pectoralis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_46904	Pachycephala pectoralis
Pachyptila belcheri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_631713	Pachyptila belcheri
Pachyramphus polychopterus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_196045	Pachyramphus polychopterus
Papio cyanocephalus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9554	Papio
Paradoxornis webbianus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_337173	Paradoxornis webbianus
Parus caeruleus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_156563	Cyanistes caeruleus
Parus major	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9157	Parus major
Parus palustris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_48890	Poecile palustris
Passerina cyanea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84843	Passerina cyanea
Pavo cristatus (Indian peafowl)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9049	Pavo cristatus
Penelopides panini	other bird	http://purl.obolibrary.org/obo/NCBITaxon_175834	Penelopides panini
Phaeomyias murina	other bird	http://purl.obolibrary.org/obo/NCBITaxon_456406	Phaeomyias murina
Phalacrocorax carbo (great cormorant)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9209	Phalacrocorax carbo
Phalacrocorax sp.	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9207	Phalacrocorax
Phasianus colchicus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9054	Phasianus colchicus
Philaemon sp.	other bird	http://purl.obolibrary.org/obo/NCBITaxon_933821	Philaemon
Phrygilus patagonicus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_555328	Phrygilus patagonicus
Phyllastrephus icterinus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_147052	Phyllastrephus icterinus
Phylloscopus collybita	other bird	http://purl.obolibrary.org/obo/NCBITaxon_48150	Phylloscopus collybita
Phylloscopus sibilatrix	other bird	http://purl.obolibrary.org/obo/NCBITaxon_48153	Phylloscopus sibilatrix
Pica pica	other bird	http://purl.obolibrary.org/obo/NCBITaxon_34924	Pica pica
Pica pica (Black-billed Magpie)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_34924	Pica pica
Pipra fasciicauda	other bird	http://purl.obolibrary.org/obo/NCBITaxon_114356	Pipra fasciicauda
Piranga olivacea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_62086	Piranga olivacea
Piranga olivacea (OZ99-082)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_62086	Piranga olivacea
Pitohui dichrous	other bird	http://purl.obolibrary.org/obo/NCBITaxon_156166	Pitohui dichrous
Pitohui incertus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_461224	Pitohui incertus
Pitta versicolor	other bird	http://purl.obolibrary.org/obo/NCBITaxon_182340	Pitta versicolor
Platysteira castanea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_107225	Platysteira
Pluvialis fulva	other bird	http://purl.obolibrary.org/obo/NCBITaxon_371922	Pluvialis fulva
Pomatorhinus ferruginosus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_932021	Pomatorhinus ferruginosus
Pseudhirundo griseopyga	other bird	http://purl.obolibrary.org/obo/NCBITaxon_88122	Pseudhirundo griseopyga
Pseudoalcippe abyssinica	other bird	http://purl.obolibrary.org/obo/NCBITaxon_528194	Pseudoalcippe abyssinica
Pseudoleistes guirahuro	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84849	Pseudoleistes guirahuro
Pseudoleistes virescens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84850	Pseudoleistes virescens
Psittacula krameri	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9228	Psittacula krameri
Ptilorrhoa caerulescens (blue jewel-babbler)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_254657	Ptilorrhoa caerulescens
Pyriglena leucoptera	other bird	http://purl.obolibrary.org/obo/NCBITaxon_265639	Pyriglena leucoptera
Quelea quelea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_187445	Quelea quelea
Quiscalus quiscula	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84782	Quiscalus quiscula
Ramphocelus carbo	other bird	http://purl.obolibrary.org/obo/NCBITaxon_36730	Ramphocelus carbo
Reichenow's weaver (Ploceus baglafecht reichenowi)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241771	Ploceus baglafecht
Rhea americana	other bird	http://purl.obolibrary.org/obo/NCBITaxon_8797	Rhea americana
Rhinomyias albigularis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_245064	Rhinomyias
Rhipidura fuliginosa	other bird	http://purl.obolibrary.org/obo/NCBITaxon_381039	Rhipidura fuliginosa
Rhipidura rufifrons	other bird	http://purl.obolibrary.org/obo/NCBITaxon_135976	Rhipidura rufifrons
rook 3.12.79	other bird		
Saltator atricollis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_221978	Saltator atricollis
Saltator coerulescens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84783	Saltator coerulescens
Saltator maximus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_460219	Saltator maximus
Scaphidura oryzivorus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84851	Scaphidura
Scenopoeetes dentirostris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_34929	Scenopoeetes dentirostris
Sericornis magnirostris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_27582	Sericornis magnirostris
Serinus canaria	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9135	Serinus canaria
Sitta europaea	other bird	http://purl.obolibrary.org/obo/NCBITaxon_50251	Sitta europaea
Sittiparus varius	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1118842	Poecile varius
Somateria mollissima (common eider)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_76058	Somateria mollissima
sparrowhawk	other bird		
Sporophila collaris (rusty-collared seedeater)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_200160	Sporophila collaris
Stachyris pyrrhops	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1006752	Stachyris pyrrhops
Starling, European	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9172	Sturnus vulgaris
Stephanophorus diadematus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_548515	Stephanophorus diadematus
Stiphrornis erythrothorax	other bird	http://purl.obolibrary.org/obo/NCBITaxon_94612	Stiphrornis erythrothorax
Strepera sp.	other bird	http://purl.obolibrary.org/obo/NCBITaxon_254662	Strepera
Streptoprocne zonaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_46505	Streptoprocne zonaris
Sturnella militaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_1118844	Sturnella militaris
Sturnella superciliaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_504332	Sturnella superciliaris
Sturnella supercilliaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_504332	Sturnella superciliaris
Sturnis vulgaris (starling)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9172	Sturnus vulgaris
Sturnus unicolor	other bird	http://purl.obolibrary.org/obo/NCBITaxon_381112	Sturnus unicolor
Sturnus vulgaris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_9172	Sturnus vulgaris
Sublegatus arenarum	other bird	http://purl.obolibrary.org/obo/NCBITaxon_456427	Sublegatus arenarum
Suiriri islerorum	other bird	http://purl.obolibrary.org/obo/NCBITaxon_456429	Suiriri
Sula capensis	other bird	http://purl.obolibrary.org/obo/NCBITaxon_32641	Sula
Surinam crested oropendola (Psarocolius decumanus decumanus)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_84847	Psarocolius decumanus
Symposiachrus trivirgatus (spectacled monarch)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_381029	Monarcha trivirgatus
Tachycineta bicolor	other bird	http://purl.obolibrary.org/obo/NCBITaxon_72873	Tachycineta bicolor
Tachyphonus luctuosus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_460224	Tachyphonus luctuosus
Tachyphonus rufus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_555354	Tachyphonus rufus
Tangara icterocephala	other bird	http://purl.obolibrary.org/obo/NCBITaxon_548524	Tangara icterocephala
Tangara preciosa	other bird	http://purl.obolibrary.org/obo/NCBITaxon_548517	Tangara preciosa
Tarsiger cyanurus	other bird		
tawny frogmouth	other bird		
Terpsiphone rufiventer	other bird	http://purl.obolibrary.org/obo/NCBITaxon_570459	Terpsiphone rufiventer
Tetrao urogallus (western capercaillie)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_100830	Tetrao urogallus
Thamnophilus ambiguus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_419680	Thamnophilus ambiguus
Thamnophilus caerulescens	other bird	http://purl.obolibrary.org/obo/NCBITaxon_137540	Thamnophilus caerulescens
Thraupis sayaca	other bird	http://purl.obolibrary.org/obo/NCBITaxon_548520	Thraupis sayaca
Thryomanes bewickii	other bird	http://purl.obolibrary.org/obo/NCBITaxon_241536	Thryomanes bewickii
Thryothorus ludovicianus	other bird	http://purl.obolibrary.org/obo/NCBITaxon_74200	Thryothorus ludovicianus
Tockus flavirostris	other bird	http://purl.obolibrary.org/obo/NCBITaxon_302528	Tockus flavirostris
Todiramphus chloris (collared kingfisher)	other bird	http://purl.obolibrary.org/obo/NCBITaxon_325347	Todiramphus chloris
