Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Diabrotica undecimpunctata	beetle	http://purl.obolibrary.org/obo/NCBITaxon_50387	Diabrotica undecimpunctata
Tenebrio molitor	beetle	http://purl.obolibrary.org/obo/NCBITaxon_7067	Tenebrio molitor
Tribolium castaneum	beetle	http://purl.obolibrary.org/obo/NCBITaxon_7070	Tribolium castaneum
Tribolium freemani	beetle	http://purl.obolibrary.org/obo/NCBITaxon_7072	Tribolium freemani
Bison bison	bison	http://purl.obolibrary.org/obo/NCBITaxon_9901	Bison bison
Bison bonasus	bison	http://purl.obolibrary.org/obo/NCBITaxon_9902	Bison bonasus
Bison bonasus bonasus	bison	http://purl.obolibrary.org/obo/NCBITaxon_9902	Bison bonasus
Bison bonasus bonasus (European bison)	bison	http://purl.obolibrary.org/obo/NCBITaxon_9902	Bison bonasus
wild boar	boar	http://purl.obolibrary.org/obo/NCBITaxon_9823	Sus scrofa
Pan paniscus (bonobo)	bonobo	http://purl.obolibrary.org/obo/NCBITaxon_9597	Pan paniscus
African buffalo (Syncerus caffer)	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Bubalus bubalis (Buffalo no. 17)	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_89462	Bubalus bubalis
Bubalus bubalis, calf	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_89462	Bubalus bubalis
Buffalo	buffalo		
buffalo (B15)	buffalo		
buffalo (B17)	buffalo		
buffalo (B18)	buffalo		
buffalo 403	buffalo		
buffalo 406	buffalo		
buffalo 410	buffalo		
buffalo 412	buffalo		
buffalo 419	buffalo		
buffalo; female	buffalo		
Syncerus caffer	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Syncerus caffer (African buffalo)	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Syncerus caffer (buffalo)	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Syncerus caffer caffer	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Syncerus caffer nanus	buffalo	http://purl.obolibrary.org/obo/NCBITaxon_9970	Syncerus caffer
Synercus kaffer	buffalo		
Andropadus gracilis	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_374617	Andropadus gracilis
Andropadus latirostris	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_59950	Andropadus latirostris
Andropadus virens	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_59966	Andropadus virens
Bleda eximia notata	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_374619	Bleda eximius
Bleda notata	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_447925	Bleda notatus
Bleda syndactyla	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_182880	Bleda syndactylus
Criniger calurus	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_182883	Criniger calurus
Criniger chloronotus	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_374622	Criniger chloronotus
Hypsipetes amaurotis	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_374649	Microscelis amaurotis
Hypsipetes madagascariensis	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_125281	Hypsipetes madagascariensis
Hypsipetes philippinus	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_374654	Ixos philippinus
Javan ruby-throated bulbul (Pycnonotus melanicterus dispar)	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_241766	Pycnonotus melanicterus
Pycnonotus barbatus	bulbul	http://purl.obolibrary.org/obo/NCBITaxon_175013	Pycnonotus barbatus
Bombus affinis	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_309941	Bombus affinis
Bombus bifarius	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_103933	Bombus bifarius
Bombus bimaculatus	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_309944	Bombus bimaculatus
Bombus consobrinus	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_130686	Bombus consobrinus
Bombus hypnorum	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_30191	Bombus hypnorum
Bombus impatiens	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_132113	Bombus impatiens
Bombus lucorum	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_30193	Bombus lucorum
Bombus occidentalis	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_217885	Bombus occidentalis
Bombus pensylvanicus	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_28643	Bombus pensylvanicus
Bombus saltuarius	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_28641	Bombus
Bombus schrencki	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_130710	Bombus schrencki
Bombus sichelii	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_99932	Bombus sichelii
Bombus sitkensis	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_309972	Bombus sitkensis
Bombus sp.	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_40311	Bombus sp.
Bombus sporadicus	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_130711	Bombus sporadicus
Bombus terrestris	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_30195	Bombus terrestris
Bombus terricola	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_207648	Bombus terricola
Bombus vosnesenskii	bumblebee	http://purl.obolibrary.org/obo/NCBITaxon_207650	Bombus vosnesenskii
Pieris rapae (Linnaeus)	butterfly	http://purl.obolibrary.org/obo/NCBITaxon_64459	Pieris rapae
Pieris rapae L.	butterfly	http://purl.obolibrary.org/obo/NCBITaxon_64459	Pieris rapae
Halesus digitatus	caddisfly	http://purl.obolibrary.org/obo/NCBITaxon_465431	Halesus
bactrial camel	camel		
Bactrian camel	camel		
Camelus bactrianus (bactrian camel)	camel	http://purl.obolibrary.org/obo/NCBITaxon_9837	Camelus bactrianus
Camelus dromedarius (dromedary camels)	camel	http://purl.obolibrary.org/obo/NCBITaxon_9838	Camelus dromedarius
Brazilian Cat	cat	http://purl.obolibrary.org/obo/NCBITaxon_9685	Felis catus
