variable,dataFile,IRI,label,definition,category,displayOrder,parentIRI,parentLabel,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
t0_larval_habitat_database2022_2023::sub.village | t0_larval_habitat_sheet_2::sub.village,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00682,Larval collection sub village,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::method | t0_larval_habitat_sheet_2::method,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00683,Larval collection method,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::season | t0_larval_habitat_sheet_2::season,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00684,Season during larval collection,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::weather | t0_larval_habitat_sheet_2::weather,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00685,Weather during larval collection,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::agricultural.status | t0_larval_habitat_sheet_2::agricultural.status,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00686,Agricultural status of larval collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::larval.collection.latitude | t0_larval_habitat_sheet_2::larval.collection.latitude,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00687,Larval collection latitude,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::habitat.type | t0_larval_habitat_sheet_2::habitat.type,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00688,Larval collection habitat type,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::habitat.parameter | t0_larval_habitat_sheet_2::habitat.parameter,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00689,Larval collection habitat parameter,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::length..m. | t0_larval_habitat_sheet_2::length..m.,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00690,Length of larval collection habitat,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::width..m. | t0_larval_habitat_sheet_2::width..m.,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00691,Width of larval collection habitat,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::number.scoops...swipes | t0_larval_habitat_sheet_2::number.scoops...swipes,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00692,Larval collection scoop and sweep count,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::vegetation.type | t0_larval_habitat_sheet_2::vegetation.type,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00693,Larval collection vegetation type,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::distance.to.house..m. | t0_larval_habitat_sheet_2::distance.to.house..m.,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00694,Distance of larval collection habitat to house,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,m,http://purl.obolibrary.org/obo/UO_0000008,,,,,,,
t0_larval_habitat_database2022_2023::intervention.present | t0_larval_habitat_sheet_2::intervention.present,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00695,Household vector intervention present,,Household,,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::livestock | t0_larval_habitat_sheet_2::livestock,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00696,Livestock presence at collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::macroinvertebrates.family | t0_larval_habitat_sheet_2::macroinvertebrates.family,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00697,Macroinvertebrate family present at collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::common.name | t0_larval_habitat_sheet_2::common.name,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00698,Common name of macroinvertebrates at collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::genera | t0_larval_habitat_sheet_2::genera,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00699,Genera present at collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::life.stage | t0_larval_habitat_sheet_2::life.stage,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00700,Life stage of macroinvertebrates at collection site,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::number.quantity | t0_larval_habitat_sheet_2::number.quantity,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00701,Macroinvertebrate present at collection site count,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,yes
t0_larval_habitat_database2022_2023::comment | t0_larval_habitat_sheet_2::comment,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00702,Arthropod collection comment,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_larval_habitat_database2022_2023::larval.collection.longitude | t0_larval_habitat_sheet_2::larval.collection.longitude,t0_larval_habitat_database2022_2023 | t0_larval_habitat_sheet_2,http://purl.obolibrary.org/obo/CLINEPIDB_00703,Larval collection longitude,,Community,,http://purl.obolibrary.org/obo/CLINEPIDB_00664,Community arthropod collection,,,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::island,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/CLINEPIDB_00704,Island,,Community,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::village..catchment.area.,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/CLINEPIDB_00705,Village catchment area,,Community,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::health.facility,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0053050,Facility name,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,yes,yes,yes,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::distance.from.nansio.hospital..km.,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/CLINEPIDB_00706,Distance from Nansio hospital,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::latitude,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::longitude,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::year,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0053231,Year,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,yes,yes,yes,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::month,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,,Community,,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,yes,yes,yes,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::age.group,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/CLINEPIDB_00707,Age group of malaria cases,,Community,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,yes,yes,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::total.tested,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0063008,Tested for malaria count,,Community,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,yes,,,T0,,,,,,,,,
t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011::positives,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0063010,Malaria positive count,,Community,,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,yes,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::adult.collection.latitude,t0_ento_adult_data_20231010,,Adult collection latitude,,Household,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,,,,,,
t0_ento_adult_data_20231010::adult.collection.longitude,t0_ento_adult_data_20231010,,Adult collection longitude,,Household,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,,,,,,
geohash1,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231011,http://purl.obolibrary.org/obo/EUPATH_0043203,geohash 1,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
geohash2,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231012,http://purl.obolibrary.org/obo/EUPATH_0043204,geohash 2,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
geohash3,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231013,http://purl.obolibrary.org/obo/EUPATH_0043205,geohash 3,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
geohash4,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231014,http://purl.obolibrary.org/obo/EUPATH_0043206,geohash 4,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
geohash5,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231015,http://purl.obolibrary.org/obo/EUPATH_0043207,geohash 5,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
geohash6,t0_malaria_cases_in_ukerewe_health_facilities_vertical_20231016,http://purl.obolibrary.org/obo/EUPATH_0043208,geohash 6,,Community,,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,T0,,,,everywhere,,,,,
