variable	variable2	values	mappedTerm
hh_00m::adequateitns	hh_00m::adequateitns	0	No
hh_06m::adequateitns	hh_06m::adequateitns	0	No
hh_12m::adequateitns	hh_12m::adequateitns	0	No
hh_18m::adequateitns	hh_18m::adequateitns	0	No
hh_00m::adequateitns	hh_00m::adequateitns	1	Yes
hh_06m::adequateitns	hh_06m::adequateitns	1	Yes
hh_12m::adequateitns	hh_12m::adequateitns	1	Yes
hh_18m::adequateitns	hh_18m::adequateitns	1	Yes
hh_00m::adequatenets	hh_00m::adequatenets	0	No
hh_06m::adequatenets	hh_06m::adequatenets	0	No
hh_12m::adequatenets	hh_12m::adequatenets	0	No
hh_18m::adequatenets	hh_18m::adequatenets	0	No
hh_00m::adequatenets	hh_00m::adequatenets	1	Yes
hh_06m::adequatenets	hh_06m::adequatenets	1	Yes
hh_12m::adequatenets	hh_12m::adequatenets	1	Yes
hh_18m::adequatenets	hh_18m::adequatenets	1	Yes
hh_00m::age5to15	hh_00m::age5to15	NA	:::UNDEF:::
hh_00m::age5to15sleptnet	hh_00m::age5to15sleptnet	NA	:::UNDEF:::
hh_member_00m::agecat	hh_member_00m::agecat	3	16 years of age or older
hh_member_06m::agecat	hh_member_06m::agecat	3	16 years of age or older
hh_member_12m::agecat	hh_member_12m::agecat	3	16 years of age or older
hh_member_18m::agecat	hh_member_18m::agecat	3	16 years of age or older
hh_member_00m::agecat	hh_member_00m::agecat	2	5 - 15 years of age
hh_member_06m::agecat	hh_member_06m::agecat	2	5 - 15 years of age
hh_member_12m::agecat	hh_member_12m::agecat	2	5 - 15 years of age
hh_member_18m::agecat	hh_member_18m::agecat	2	5 - 15 years of age
hh_member_00m::agecat	hh_member_00m::agecat	1	Fewer than 5 years of age
hh_member_06m::agecat	hh_member_06m::agecat	1	Fewer than 5 years of age
hh_member_12m::agecat	hh_member_12m::agecat	1	Fewer than 5 years of age
hh_member_18m::agecat	hh_member_18m::agecat	1	Fewer than 5 years of age
hh_00m::ageover15	hh_00m::ageover15	NA	:::UNDEF:::
hh_00m::ageover15sleptnet	hh_00m::ageover15sleptnet	NA	:::UNDEF:::
hh_00m::ageunder5	hh_00m::ageunder5	NA	:::UNDEF:::
hh_00m::ageunder5sleptnet	hh_00m::ageunder5sleptnet	NA	:::UNDEF:::
hh_00m::ahwker	hh_00m::ahwker	-7	Don't know
hh_06m::ahwker	hh_06m::ahwker	-7	Don't know
hh_12m::ahwker	hh_12m::ahwker	-7	Don't know
hh_18m::ahwker	hh_18m::ahwker	-7	Don't know
hh_00m::ahwker	hh_00m::ahwker	0	No
hh_06m::ahwker	hh_06m::ahwker	0	No
hh_12m::ahwker	hh_12m::ahwker	0	No
hh_18m::ahwker	hh_18m::ahwker	0	No
hh_18m::ahwker	hh_18m::ahwker	-8	Refused to answer
hh_00m::ahwker	hh_00m::ahwker	1	Yes
hh_06m::ahwker	hh_06m::ahwker	1	Yes
hh_12m::ahwker	hh_12m::ahwker	1	Yes
hh_18m::ahwker	hh_18m::ahwker	1	Yes
hh_00m::airbricks	hh_00m::airbricks	NA	:::UNDEF:::
hh_06m::airbricks	hh_06m::airbricks	Dont Know	Don't know
hh_12m::airbricks	hh_12m::airbricks	Dont Know	Don't know
hh_18m::airbricks	hh_18m::airbricks	Dont Know	Don't know
hh_00m::airbricks	hh_00m::airbricks	-9	Missing
hh_12m::airbricks	hh_12m::airbricks	No	No or only over some windows
hh_00m::airbricks	hh_00m::airbricks	2	No or only over some windows
hh_06m::airbricks	hh_06m::airbricks	No(or not all)	No or only over some windows
hh_12m::airbricks	hh_12m::airbricks	No(or not all)	No or only over some windows
hh_18m::airbricks	hh_18m::airbricks	No(or not all	No or only over some windows
hh_18m::airbricks	hh_18m::airbricks	No(or not all)	No or only over some windows
hh_12m::airbricks	hh_12m::airbricks	yes	Yes
hh_00m::airbricks	hh_00m::airbricks	1	"Yes, over all windows"
hh_06m::airbricks	hh_06m::airbricks	Yes(all)	"Yes, over all windows"
hh_12m::airbricks	hh_12m::airbricks	Yes(all)	"Yes, over all windows"
hh_18m::airbricks	hh_18m::airbricks	Yes(all)	"Yes, over all windows"
hh_00m::amchwker	hh_00m::amchwker	-7	Don't know
hh_06m::amchwker	hh_06m::amchwker	-7	Don't know
hh_12m::amchwker	hh_12m::amchwker	-7	Don't know
hh_18m::amchwker	hh_18m::amchwker	-7	Don't know
hh_00m::amchwker	hh_00m::amchwker	0	No
hh_06m::amchwker	hh_06m::amchwker	0	No
hh_12m::amchwker	hh_12m::amchwker	0	No
hh_18m::amchwker	hh_18m::amchwker	0	No
hh_00m::amchwker	hh_00m::amchwker	-9	Not applicable
hh_06m::amchwker	hh_06m::amchwker	-9	Not applicable
hh_12m::amchwker	hh_12m::amchwker	-9	Not applicable
hh_18m::amchwker	hh_18m::amchwker	-9	Not applicable
hh_12m::amchwker	hh_12m::amchwker	-8	Refused to answer
hh_18m::amchwker	hh_18m::amchwker	-8	Refused to answer
hh_00m::amchwker	hh_00m::amchwker	1	Yes
hh_06m::amchwker	hh_06m::amchwker	1	Yes
hh_12m::amchwker	hh_12m::amchwker	1	Yes
hh_18m::amchwker	hh_18m::amchwker	1	Yes
hh_member_00m::anemia10	hh_member_00m::anemia10	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_06m::anemia10	hh_member_06m::anemia10	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_12m::anemia10	hh_member_12m::anemia10	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_18m::anemia10	hh_member_18m::anemia10	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_00m::anemia10	hh_member_00m::anemia10	0	No
hh_member_06m::anemia10	hh_member_06m::anemia10	0	No
hh_member_12m::anemia10	hh_member_12m::anemia10	0	No
hh_member_18m::anemia10	hh_member_18m::anemia10	0	No
hh_member_00m::anemia10	hh_member_00m::anemia10	1	Yes
hh_member_06m::anemia10	hh_member_06m::anemia10	1	Yes
hh_member_12m::anemia10	hh_member_12m::anemia10	1	Yes
hh_member_18m::anemia10	hh_member_18m::anemia10	1	Yes
hh_member_00m::anemia11	hh_member_00m::anemia11	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_06m::anemia11	hh_member_06m::anemia11	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_12m::anemia11	hh_member_12m::anemia11	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_18m::anemia11	hh_member_18m::anemia11	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_00m::anemia11	hh_member_00m::anemia11	0	No
hh_member_06m::anemia11	hh_member_06m::anemia11	0	No
hh_member_12m::anemia11	hh_member_12m::anemia11	0	No
hh_member_18m::anemia11	hh_member_18m::anemia11	0	No
hh_member_00m::anemia11	hh_member_00m::anemia11	1	Yes
hh_member_06m::anemia11	hh_member_06m::anemia11	1	Yes
hh_member_12m::anemia11	hh_member_12m::anemia11	1	Yes
hh_member_18m::anemia11	hh_member_18m::anemia11	1	Yes
hh_member_00m::anemia8	hh_member_00m::anemia8	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_06m::anemia8	hh_member_06m::anemia8	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_12m::anemia8	hh_member_12m::anemia8	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_18m::anemia8	hh_member_18m::anemia8	NA	Did not consent / did not meet inclusion criteria / hemoglobin results missing
hh_member_00m::anemia8	hh_member_00m::anemia8	0	No
hh_member_06m::anemia8	hh_member_06m::anemia8	0	No
hh_member_12m::anemia8	hh_member_12m::anemia8	0	No
hh_member_18m::anemia8	hh_member_18m::anemia8	0	No
hh_member_00m::anemia8	hh_member_00m::anemia8	1	Yes
hh_member_06m::anemia8	hh_member_06m::anemia8	1	Yes
hh_member_12m::anemia8	hh_member_12m::anemia8	1	Yes
hh_member_18m::anemia8	hh_member_18m::anemia8	1	Yes
hh_00m::anophelesf	hh_00m::anophelesf	NA	:::UNDEF:::
hh_06m::anophelesf	hh_06m::anophelesf	NA	:::UNDEF:::
hh_12m::anophelesf	hh_12m::anophelesf	NA	:::UNDEF:::
hh_18m::anophelesf	hh_18m::anophelesf	NA	:::UNDEF:::
hh_00m::anophelesm	hh_00m::anophelesm	NA	:::UNDEF:::
hh_06m::anophelesm	hh_06m::anophelesm	NA	:::UNDEF:::
hh_12m::anophelesm	hh_12m::anophelesm	NA	:::UNDEF:::
hh_18m::anophelesm	hh_18m::anophelesm	NA	:::UNDEF:::
hh_06m::anyitn	hh_06m::anyitn	0	No
hh_12m::anyitn	hh_12m::anyitn	0	No
hh_18m::anyitn	hh_18m::anyitn	0	No
hh_06m::anyitn	hh_06m::anyitn	1	Yes
hh_12m::anyitn	hh_12m::anyitn	1	Yes
hh_18m::anyitn	hh_18m::anyitn	1	Yes
hh_00m::anyitncol	hh_00m::anyitncol	0	No
hh_00m::anyitncol	hh_00m::anyitncol	1	Yes
hh_member_00m::anynet	hh_member_00m::anynet	0	No
hh_member_06m::anynet	hh_member_06m::anynet	0	No
hh_member_12m::anynet	hh_member_12m::anynet	0	No
hh_member_18m::anynet	hh_member_18m::anynet	0	No
hh_member_00m::anynet	hh_member_00m::anynet	1	Yes
hh_member_06m::anynet	hh_member_06m::anynet	1	Yes
hh_member_12m::anynet	hh_member_12m::anynet	1	Yes
hh_member_18m::anynet	hh_member_18m::anynet	1	Yes
hh_00m::anynetcat	hh_00m::anynetcat	0	0
hh_06m::anynetcat	hh_06m::anynetcat	0	0
hh_12m::anynetcat	hh_12m::anynetcat	0	0
hh_18m::anynetcat	hh_18m::anynetcat	0	0
hh_00m::anynetcat	hh_00m::anynetcat	1	1
hh_06m::anynetcat	hh_06m::anynetcat	1	1
hh_12m::anynetcat	hh_12m::anynetcat	1	1
hh_18m::anynetcat	hh_18m::anynetcat	1	1
hh_00m::anynetcat	hh_00m::anynetcat	2	2
hh_06m::anynetcat	hh_06m::anynetcat	2	2
hh_12m::anynetcat	hh_12m::anynetcat	2	2
hh_18m::anynetcat	hh_18m::anynetcat	2	2
hh_00m::anynetcat	hh_00m::anynetcat	3	3 or more
hh_06m::anynetcat	hh_06m::anynetcat	3	3 or more
hh_12m::anynetcat	hh_12m::anynetcat	3	3 or more
hh_18m::anynetcat	hh_18m::anynetcat	3	3 or more
hh_12m::anynonucc	hh_12m::anynonucc	-7	Don't know
hh_12m::anynonucc	hh_12m::anynonucc	0	No
hh_18m::anynonucc	hh_18m::anynonucc	0	No
hh_12m::anynonucc	hh_12m::anynonucc	-9	Not applicable
hh_18m::anynonucc	hh_18m::anynonucc	-9	Not applicable
hh_12m::anynonucc	hh_12m::anynonucc	1	Yes
hh_18m::anynonucc	hh_18m::anynonucc	1	Yes
hh_00m::anyunder5	hh_00m::anyunder5	0	No
hh_00m::anyunder5	hh_00m::anyunder5	1	Yes
hh_00m::bankacco	hh_00m::bankacco	-7	Don't know
hh_06m::bankacco	hh_06m::bankacco	-7	Don't know
hh_18m::bankacco	hh_18m::bankacco	-7	Don't know
hh_00m::bankacco	hh_00m::bankacco	0	No
hh_06m::bankacco	hh_06m::bankacco	0	No
hh_12m::bankacco	hh_12m::bankacco	0	No
hh_18m::bankacco	hh_18m::bankacco	0	No
hh_00m::bankacco	hh_00m::bankacco	-8	Refused to answer
hh_00m::bankacco	hh_00m::bankacco	1	Yes
hh_06m::bankacco	hh_06m::bankacco	1	Yes
hh_12m::bankacco	hh_12m::bankacco	1	Yes
hh_18m::bankacco	hh_18m::bankacco	1	Yes
hh_12m::bed	hh_12m::bed	-7	Don't know
hh_00m::bed	hh_00m::bed	0	No
hh_06m::bed	hh_06m::bed	0	No
hh_12m::bed	hh_12m::bed	0	No
hh_18m::bed	hh_18m::bed	0	No
hh_00m::bed	hh_00m::bed	-8	Refused to answer
hh_00m::bed	hh_00m::bed	1	Yes
hh_06m::bed	hh_06m::bed	1	Yes
hh_12m::bed	hh_12m::bed	1	Yes
hh_18m::bed	hh_18m::bed	1	Yes
hh_00m::bicycle	hh_00m::bicycle	0	No
hh_06m::bicycle	hh_06m::bicycle	0	No
hh_12m::bicycle	hh_12m::bicycle	0	No
hh_18m::bicycle	hh_18m::bicycle	0	No
hh_00m::bicycle	hh_00m::bicycle	-8	Refused to answer
hh_00m::bicycle	hh_00m::bicycle	1	Yes
hh_06m::bicycle	hh_06m::bicycle	1	Yes
hh_12m::bicycle	hh_12m::bicycle	1	Yes
hh_18m::bicycle	hh_18m::bicycle	1	Yes
hh_00m::bloodfedfunestus	hh_00m::bloodfedfunestus	NA	:::UNDEF:::
hh_06m::bloodfedfunestus	hh_06m::bloodfedfunestus	NA	:::UNDEF:::
hh_12m::bloodfedfunestus	hh_12m::bloodfedfunestus	NA	:::UNDEF:::
hh_18m::bloodfedfunestus	hh_18m::bloodfedfunestus	NA	:::UNDEF:::
hh_00m::bloodfedgambiae	hh_00m::bloodfedgambiae	NA	:::UNDEF:::
hh_06m::bloodfedgambiae	hh_06m::bloodfedgambiae	NA	:::UNDEF:::
hh_12m::bloodfedgambiae	hh_12m::bloodfedgambiae	NA	:::UNDEF:::
hh_18m::bloodfedgambiae	hh_18m::bloodfedgambiae	NA	:::UNDEF:::
hh_member_00m::bsdich	hh_member_00m::bsdich	NA	Did not consent / did not meet inclusion criteria / missing
hh_member_06m::bsdich	hh_member_06m::bsdich	NA	Did not consent / did not meet inclusion criteria / missing
hh_member_12m::bsdich	hh_member_12m::bsdich	NA	Did not consent / did not meet inclusion criteria / missing
hh_member_18m::bsdich	hh_member_18m::bsdich	NA	Did not consent / did not meet inclusion criteria / missing
hh_member_00m::bsdich	hh_member_00m::bsdich	0	No
hh_member_06m::bsdich	hh_member_06m::bsdich	0	No
hh_member_12m::bsdich	hh_member_12m::bsdich	0	No
hh_member_18m::bsdich	hh_member_18m::bsdich	0	No
hh_member_00m::bsdich	hh_member_00m::bsdich	1	Yes
hh_member_06m::bsdich	hh_member_06m::bsdich	1	Yes
hh_member_12m::bsdich	hh_member_12m::bsdich	1	Yes
hh_member_18m::bsdich	hh_member_18m::bsdich	1	Yes
hh_member_06m::bsdone	hh_member_06m::bsdone	NA	Did not consent / did not meet inclusion criteria
hh_member_12m::bsdone	hh_member_12m::bsdone	NA	Did not consent / did not meet inclusion criteria
hh_member_18m::bsdone	hh_member_18m::bsdone	NA	Did not consent / did not meet inclusion criteria
hh_member_06m::bsdone	hh_member_06m::bsdone	0	No
hh_member_06m::bsdone	hh_member_06m::bsdone	1	Yes
hh_member_12m::bsdone	hh_member_12m::bsdone	1	Yes
hh_member_18m::bsdone	hh_member_18m::bsdone	1	Yes
hh_member_00m::bsresults	hh_member_00m::bsresults	NA	Did not consent / did not meet inclusion criteria
hh_member_00m::bsresults	hh_member_00m::bsresults	0	No
hh_member_00m::bsresults	hh_member_00m::bsresults	1	Yes
hh_00m::burnyn	hh_00m::burnyn	NA	:::UNDEF:::
hh_06m::burnyn	hh_06m::burnyn	Dont Know	Don't know
hh_12m::burnyn	hh_12m::burnyn	Dont Know	Don't know
hh_00m::burnyn	hh_00m::burnyn	-9	Missing
hh_18m::burnyn	hh_18m::burnyn	-9	Missing
hh_00m::burnyn	hh_00m::burnyn	2	No
hh_06m::burnyn	hh_06m::burnyn	No	No
hh_12m::burnyn	hh_12m::burnyn	No	No
hh_18m::burnyn	hh_18m::burnyn	No	No
hh_00m::burnyn	hh_00m::burnyn	1	Yes
hh_06m::burnyn	hh_06m::burnyn	Yes	Yes
hh_12m::burnyn	hh_12m::burnyn	Yes	Yes
hh_18m::burnyn	hh_18m::burnyn	Yes	Yes
hh_18m::car	hh_18m::car	-7	Don't know
hh_00m::car	hh_00m::car	0	No
hh_06m::car	hh_06m::car	0	No
hh_12m::car	hh_12m::car	0	No
hh_18m::car	hh_18m::car	0	No
hh_00m::car	hh_00m::car	-8	Refused to answer
hh_00m::car	hh_00m::car	1	Yes
hh_06m::car	hh_06m::car	1	Yes
hh_12m::car	hh_12m::car	1	Yes
hh_18m::car	hh_18m::car	1	Yes
hh_00m::cassette	hh_00m::cassette	0	No
hh_06m::cassette	hh_06m::cassette	0	No
hh_12m::cassette	hh_12m::cassette	0	No
hh_18m::cassette	hh_18m::cassette	0	No
hh_00m::cassette	hh_00m::cassette	-8	Refused to answer
hh_00m::cassette	hh_00m::cassette	1	Yes
hh_06m::cassette	hh_06m::cassette	1	Yes
hh_12m::cassette	hh_12m::cassette	1	Yes
hh_18m::cassette	hh_18m::cassette	1	Yes
hh_00m::ceiling	hh_00m::ceiling	NA	:::UNDEF:::
hh_06m::ceiling	hh_06m::ceiling	Dont Know	Don't know
hh_12m::ceiling	hh_12m::ceiling	Dont Know	Don't know
hh_00m::ceiling	hh_00m::ceiling	-9	Missing
hh_00m::ceiling	hh_00m::ceiling	2	No or only over some rooms
hh_06m::ceiling	hh_06m::ceiling	No	No or only over some rooms
hh_06m::ceiling	hh_06m::ceiling	ONLY SEATING ROOM	No or only over some rooms
hh_06m::ceiling	hh_06m::ceiling	YES ONLY SEATING ROOM	No or only over some rooms
hh_12m::ceiling	hh_12m::ceiling	No	No or only over some rooms
hh_12m::ceiling	hh_12m::ceiling	YES (Only seating room)	No or only over some rooms
hh_12m::ceiling	hh_12m::ceiling	yes(only seating room)	No or only over some rooms
hh_18m::ceiling	hh_18m::ceiling	No	No or only over some rooms
hh_00m::ceiling	hh_00m::ceiling	1	"Yes, over all rooms"
hh_06m::ceiling	hh_06m::ceiling	Yes	"Yes, over all rooms"
hh_12m::ceiling	hh_12m::ceiling	Yes	"Yes, over all rooms"
hh_18m::ceiling	hh_18m::ceiling	Yes	"Yes, over all rooms"
hh_00m::chair	hh_00m::chair	0	No
hh_06m::chair	hh_06m::chair	0	No
hh_12m::chair	hh_12m::chair	0	No
hh_18m::chair	hh_18m::chair	0	No
hh_00m::chair	hh_00m::chair	-8	Refused to answer
hh_00m::chair	hh_00m::chair	1	Yes
hh_06m::chair	hh_06m::chair	1	Yes
hh_12m::chair	hh_12m::chair	1	Yes
hh_18m::chair	hh_18m::chair	1	Yes
hh_00m::clock	hh_00m::clock	0	No
hh_06m::clock	hh_06m::clock	0	No
hh_12m::clock	hh_12m::clock	0	No
hh_18m::clock	hh_18m::clock	0	No
hh_00m::clock	hh_00m::clock	-8	Refused to answer
hh_00m::clock	hh_00m::clock	1	Yes
hh_06m::clock	hh_06m::clock	1	Yes
hh_12m::clock	hh_12m::clock	1	Yes
hh_18m::clock	hh_18m::clock	1	Yes
hh_00m::closetime2	hh_00m::closetime2	10:00 PM or later	10:00 PM or later
hh_06m::closetime2	hh_06m::closetime2	After 10pm	10:00 PM or later
hh_12m::closetime2	hh_12m::closetime2	After 10pm	10:00 PM or later
hh_18m::closetime2	hh_18m::closetime2	After 10pm	10:00 PM or later
hh_00m::closetime2	hh_00m::closetime2	6:00 PM or earlier	6:00 PM or earlier
hh_06m::closetime2	hh_06m::closetime2	Before 6pm	6:00 PM or earlier
hh_12m::closetime2	hh_12m::closetime2	Before 6pm	6:00 PM or earlier
hh_18m::closetime2	hh_18m::closetime2	Before 6pm	6:00 PM or earlier
hh_00m::closetime2	hh_00m::closetime2	6:01 - 7:00 PM	6:01 - 7:00 PM
hh_06m::closetime2	hh_06m::closetime2	6-7pm	6:01 - 7:00 PM
hh_06m::closetime2	hh_06m::closetime2	6:01 - 7:00 PM	6:01 - 7:00 PM
hh_06m::closetime2	hh_06m::closetime2	6-10pm	6:01 - 10:00 PM
hh_12m::closetime2	hh_12m::closetime2	6-7pm	6:01 - 7:00 PM
hh_18m::closetime2	hh_18m::closetime2	6-7pm	6:01 - 7:00 PM
hh_00m::closetime2	hh_00m::closetime2	7:01 - 8:00 PM	7:01 - 8:00 PM
hh_06m::closetime2	hh_06m::closetime2	7-8pm	7:01 - 8:00 PM
hh_12m::closetime2	hh_12m::closetime2	7-8pm	7:01 - 8:00 PM
hh_18m::closetime2	hh_18m::closetime2	7-8pm	7:01 - 8:00 PM
hh_00m::closetime2	hh_00m::closetime2	8:01 - 9:00 PM	8:01 - 9:00 PM
hh_06m::closetime2	hh_06m::closetime2	8-9pm	8:01 - 9:00 PM
hh_12m::closetime2	hh_12m::closetime2	8-9pm	8:01 - 9:00 PM
hh_18m::closetime2	hh_18m::closetime2	8-9pm	8:01 - 9:00 PM
hh_00m::closetime2	hh_00m::closetime2	9:01 - 10:00 PM	9:01 - 10:00 PM
hh_06m::closetime2	hh_06m::closetime2	9-10pm	9:01 - 10:00 PM
hh_12m::closetime2	hh_12m::closetime2	9-10pm	9:01 - 10:00 PM
hh_18m::closetime2	hh_18m::closetime2	9-10pm	9:01 - 10:00 PM
hh_06m::closetime2	hh_06m::closetime2	Always kept closed / no windows	Always kept closed / no windows
hh_12m::closetime2	hh_12m::closetime2	Always kept closed / no windows	Always kept closed / no windows
hh_18m::closetime2	hh_18m::closetime2	Always kept closed / no windows	Always kept closed / no windows
hh_00m::closetime2	hh_00m::closetime2	Did not close window	Did not close window
hh_06m::closetime2	hh_06m::closetime2	Did not close window	Did not close window
hh_12m::closetime2	hh_12m::closetime2	Did not close window	Did not close window
hh_18m::closetime2	hh_18m::closetime2	Did not close window	Did not close window
hh_00m::closetime2	hh_00m::closetime2	Missing	Missing
hh_12m::closetime2	hh_12m::closetime2	Missing	Missing
hh_18m::closetime2	hh_18m::closetime2	Missing	Missing
hh_00m::closewindow	hh_00m::closewindow	NA	:::UNDEF:::
hh_06m::closewindow	hh_06m::closewindow	ALWAYS CLOSED	Always kept closed / no windows
hh_12m::closewindow	hh_12m::closewindow	CLOSED ALWAYS	Always kept closed / no windows
hh_12m::closewindow	hh_12m::closewindow	No windoors	Always kept closed / no windows
hh_12m::closewindow	hh_12m::closewindow	No windows	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	ALWAYS CLOSD	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	ALWAYS CLOSED	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	NO WINDOWS	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	No WINDOWS	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	No windows	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	WINDOWS ALWAYS CLOSED	Always kept closed / no windows
hh_18m::closewindow	hh_18m::closewindow	Dont Know	Don't know
hh_00m::closewindow	hh_00m::closewindow	-9	Missing
hh_12m::closewindow	hh_12m::closewindow	-9	Missing
hh_18m::closewindow	hh_18m::closewindow	-9	Missing
hh_00m::closewindow	hh_00m::closewindow	1	No
hh_06m::closewindow	hh_06m::closewindow	No	No
hh_12m::closewindow	hh_12m::closewindow	No	No
hh_18m::closewindow	hh_18m::closewindow	No	No
hh_00m::closewindow	hh_00m::closewindow	2	Yes
hh_06m::closewindow	hh_06m::closewindow	Yes	Yes
hh_12m::closewindow	hh_12m::closewindow	Yes	Yes
hh_18m::closewindow	hh_18m::closewindow	Yes	Yes
hh_member_00m::consent	hh_member_00m::consent	NA	Did not meet inclusion criteria
hh_member_06m::consent	hh_member_06m::consent	NA	Did not meet inclusion criteria
hh_member_12m::consent	hh_member_12m::consent	NA	Did not meet inclusion criteria
hh_member_18m::consent	hh_member_18m::consent	NA	Did not meet inclusion criteria
hh_member_00m::consent	hh_member_00m::consent	0	No
hh_member_06m::consent	hh_member_06m::consent	0	No
hh_member_12m::consent	hh_member_12m::consent	0	No
hh_member_18m::consent	hh_member_18m::consent	0	No
hh_member_00m::consent	hh_member_00m::consent	2	Not at home
hh_member_06m::consent	hh_member_06m::consent	2	Not at home
hh_member_12m::consent	hh_member_12m::consent	2	Not at home
hh_member_18m::consent	hh_member_18m::consent	2	Not at home
hh_member_00m::consent	hh_member_00m::consent	1	Yes
hh_member_06m::consent	hh_member_06m::consent	1	Yes
hh_member_12m::consent	hh_member_12m::consent	1	Yes
hh_member_18m::consent	hh_member_18m::consent	1	Yes
hh_00m::covered	hh_00m::covered	0	No
hh_06m::covered	hh_06m::covered	0	No
hh_12m::covered	hh_12m::covered	0	No
hh_18m::covered	hh_18m::covered	0	No
hh_00m::covered	hh_00m::covered	-9	Not applicable
hh_06m::covered	hh_06m::covered	-9	Not applicable
hh_12m::covered	hh_12m::covered	-9	Not applicable
hh_18m::covered	hh_18m::covered	-9	Not applicable
hh_00m::covered	hh_00m::covered	1	Yes
hh_06m::covered	hh_06m::covered	1	Yes
hh_12m::covered	hh_12m::covered	1	Yes
hh_18m::covered	hh_18m::covered	1	Yes
hh_00m::crowding	hh_00m::crowding	NA	:::UNDEF:::
hh_00m::crowdingcol	hh_00m::crowdingcol	NA	Missing
hh_00m::crowdingcol	hh_00m::crowdingcol	1	No
hh_00m::crowdingcol	hh_00m::crowdingcol	0	Yes
hh_00m::cupboard	hh_00m::cupboard	0	No
hh_06m::cupboard	hh_06m::cupboard	0	No
hh_12m::cupboard	hh_12m::cupboard	0	No
hh_18m::cupboard	hh_18m::cupboard	0	No
hh_00m::cupboard	hh_00m::cupboard	-8	Refused to answer
hh_00m::cupboard	hh_00m::cupboard	1	Yes
hh_06m::cupboard	hh_06m::cupboard	1	Yes
hh_12m::cupboard	hh_12m::cupboard	1	Yes
hh_18m::cupboard	hh_18m::cupboard	1	Yes
hh_00m::desktop	hh_00m::desktop	0	No
hh_06m::desktop	hh_06m::desktop	0	No
hh_12m::desktop	hh_12m::desktop	0	No
hh_18m::desktop	hh_18m::desktop	0	No
hh_00m::desktop	hh_00m::desktop	-9	Not applicable
hh_06m::desktop	hh_06m::desktop	-9	Not applicable
hh_12m::desktop	hh_12m::desktop	-9	Not applicable
hh_18m::desktop	hh_18m::desktop	-9	Not applicable
hh_00m::desktop	hh_00m::desktop	1	Yes
hh_06m::desktop	hh_06m::desktop	1	Yes
hh_12m::desktop	hh_12m::desktop	1	Yes
hh_18m::desktop	hh_18m::desktop	1	Yes
hh_00m::device	hh_00m::device	4	Desktop computer
hh_06m::device	hh_06m::device	4	Desktop computer
hh_12m::device	hh_12m::device	4	Desktop computer
hh_00m::device	hh_00m::device	3	Laptop computer
hh_06m::device	hh_06m::device	3	Laptop computer
hh_12m::device	hh_12m::device	3	Laptop computer
hh_18m::device	hh_18m::device	3	Laptop computer
hh_00m::device	hh_00m::device	-9	No device to access internet
hh_06m::device	hh_06m::device	-9	No device to access internet
hh_12m::device	hh_12m::device	-9	No device to access internet
hh_18m::device	hh_18m::device	-9	No device to access internet
hh_00m::device	hh_00m::device	1	Smartphone
hh_06m::device	hh_06m::device	1	Smartphone
hh_12m::device	hh_12m::device	1	Smartphone
hh_18m::device	hh_18m::device	1	Smartphone
hh_00m::device	hh_00m::device	7	Smartphone and desktop computer
hh_12m::device	hh_12m::device	7	Smartphone and desktop computer
hh_18m::device	hh_18m::device	7	Smartphone and desktop computer
hh_00m::device	hh_00m::device	5	Smartphone and laptop computer
hh_06m::device	hh_06m::device	5	Smartphone and laptop computer
hh_12m::device	hh_12m::device	5	Smartphone and laptop computer
hh_18m::device	hh_18m::device	5	Smartphone and laptop computer
hh_00m::device	hh_00m::device	6	Smartphone and tablet
hh_06m::device	hh_06m::device	6	Smartphone and tablet
hh_12m::device	hh_12m::device	6	Smartphone and tablet
hh_18m::device	hh_18m::device	6	Smartphone and tablet
hh_06m::device	hh_06m::device	9	"Smartphone, laptop computer, and desktop computer"
hh_00m::device	hh_00m::device	8	"Smartphone, tablet, and laptop computer"
hh_06m::device	hh_06m::device	8	"Smartphone, tablet, and laptop computer"
hh_18m::device	hh_18m::device	8	"Smartphone, tablet, and laptop computer"
hh_06m::device	hh_06m::device	10	"Smartphone, tablet, laptop computer, and desktop computer"
