variable	variable2	values	mappedTerms	valueOrder
gems1a_huas_lite_data_kenya::drh_thirsty	gems1a_huas_lite_data_kenya::drh_thirsty	2	Yes	1
gems1a_huas_lite_data_kenya::drh_thirsty	gems1a_huas_lite_data_kenya::drh_thirsty	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_thirsty	gems1a_huas_lite_data_6_sites::drh_thirsty	0	No	
gems1a_huas_lite_data_6_sites::drh_thirsty	gems1a_huas_lite_data_6_sites::drh_thirsty	1	Yes	
gems1a_huas_lite_data_6_sites::drh_thirsty	gems1a_huas_lite_data_6_sites::drh_thirsty	9	Don't know	
gems1a_huas_lite_data_kenya::drh_wrnkskin	gems1a_huas_lite_data_kenya::drh_wrnkskin	0	NA	4
gems1a_huas_lite_data_kenya::drh_wrnkskin	gems1a_huas_lite_data_kenya::drh_wrnkskin	1	No	2
gems1a_huas_lite_data_kenya::drh_wrnkskin	gems1a_huas_lite_data_kenya::drh_wrnkskin	2	Yes	1
gems1a_huas_lite_data_kenya::drh_wrnkskin	gems1a_huas_lite_data_kenya::drh_wrnkskin	3	Don't know	3
gems1a_huas_lite_data_6_sites::drh_wrnkskin	gems1a_huas_lite_data_6_sites::drh_wrnkskin	0	No	
gems1a_huas_lite_data_6_sites::drh_wrnkskin	gems1a_huas_lite_data_6_sites::drh_wrnkskin	1	Yes	
gems1a_huas_lite_data_6_sites::drh_wrnkskin	gems1a_huas_lite_data_6_sites::drh_wrnkskin	9	Don't know	
gems1a_huas_lite_data_6_sites::gender	gems1a_huas_lite_data_6_sites::gender	0	Male	2
gems1a_huas_lite_data_6_sites::gender	gems1a_huas_lite_data_6_sites::gender	1	Female	1
gems1a_huas_lite_data_kenya::gender	gems1a_huas_lite_data_kenya::gender	1	Male	
gems1a_huas_lite_data_kenya::gender	gems1a_huas_lite_data_kenya::gender	2	Female	
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	1	3 to 6 times per day	1
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	2	7 to 10 times per day	2
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	3	More than 10 times per day	3
gems1a_huas_lite_data_kenya::max_stools	gems1a_huas_lite_data_kenya::max_stools	4	Don't know	4
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	<NA>	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	1	3 to 6 times per day	
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	2	7 to 10 times per day	
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	3	More than 10 times per day	
gems1a_huas_lite_data_6_sites::max_stools	gems1a_huas_lite_data_6_sites::max_stools	4	Don't know	
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	0	:::UNDEF:::	
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	1	Resolved	1
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	2	Improved	2
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	3	Continuing	3
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	4	Worsening	4
gems1a_huas_lite_data_kenya::outcome	gems1a_huas_lite_data_kenya::outcome	5	Child died	5	
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	<NA>	:::UNDEF:::	
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	1	Resolved	
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	2	Improved
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	3	Continuing	
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	4	Worsening
gems1a_huas_lite_data_6_sites::outcome	gems1a_huas_lite_data_6_sites::outcome	5	Child died	
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	1	Yes	1
gems1a_huas_lite_data_kenya::primcare	gems1a_huas_lite_data_kenya::primcare	0	No	2
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	1	Yes	
gems1a_huas_lite_data_6_sites::primcare	gems1a_huas_lite_data_6_sites::primcare	0	No	
gems1a_huas_lite_data_6_sites::seek_ctr2_shc	gems1a_huas_lite_data_6_sites::seek_ctr2_shc	1	Yes		
