variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cd_captation,icemr2,,Data collection month,Capture code,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Capture code,1 = July | 2 = October,,,,,ICEMR2_cross_sectional,,,,,,,,,
inicio_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0045102,Survey round start date,Individual survey start date and time,Participant,,,variable,Individual survey start date and time,NA,,,,,ICEMR2_cross_sectional,,,yes,,,,,,
fin_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0045103,Survey round stop date,End date and time of the individual survey,Participant,,,variable,End date and time of the individual survey,NA,,,,,ICEMR2_cross_sectional,,,yes,,,,,,
tiempo_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0055148,Total time spend on survey,Average time to take each survey,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,variable,Average time to take each survey,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
dt_data_collection_ind,icemr2,,Data collection date,Day of data collection,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,Day of data collection,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
f_nac,icemr2,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,Date of Birth,Participant,,,variable,Date of Birth,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
edad,icemr2,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age,Participant,,,variable,Age,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_sex,icemr2,http://purl.obolibrary.org/obo/PATO_0000047,Sex,Sex,Participant,,,variable,Sex,0 = Female | 1 = Male,,,,,ICEMR2_cross_sectional,,,,,,,,,
censo_previo,icemr2,,Previous census,TBE,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,TBE,Ture |False,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_preg,icemr2,http://purl.obolibrary.org/obo/UBERON_0009097,Pregnant,You are currently pregnant:,Participant,,,variable,You are currently pregnant:,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_preg_time,icemr2,http://purl.obolibrary.org/obo/EUPATH_0051743,Pregnancy duration calculated,How far pregnant are you? in months,Participant,,,variable,How far pregnant are you? in months,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
partos_pasados,icemr2,,Full term delivery,"In the past, have you had full-term deliveries?",Participant,http://purl.obolibrary.org/obo/ONTONEO_00000225,Obstetric history,variable,"In the past, have you had full-term deliveries?",0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
partos_termino,icemr2,,Full term deliveries count,Number of deliveries at term,Participant,http://purl.obolibrary.org/obo/ONTONEO_00000226,Obstetric history,variable,Number of deliveries at term,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
viv_siempre_com_ind,icemr2,,Always lived in this community ,Have you always lived in this community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Have you always lived in this community?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_llegada_ind,icemr2,,Date of living in settlement,What year did you come to the community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,What year did you come to the community?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_llegada_ind,icemr2,,Month of living in settlement,What year did you come to the community?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,In what month did you arrive in the community?,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
why_antes_ind,icemr2,http://purl.obolibrary.org/obo/EUPATH_0024016,Reason for relocation,Reason for moving from previous community,Participant,,,variable,Reason for moving from previous community,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_why_antes_ind,icemr2,,Second reason for relocation,Another reason for moving,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Another reason for moving,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
anio_inicio_vivienda_ind,icemr2,,Date of starting living in this house,Year you started living in this house,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Year you started living in this house,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mes_inicio_vivienda_ind,icemr2,,Month of starting living in this house,Year you started living in this house,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Month in which you began to live in this dwelling,NA,,,,,ICEMR2_cross_sectional,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
reason_before_ind,icemr2,,Reason for moving from previous home,Reason for moving from your previous home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Reason for moving from your previous home,"1 = Economic Reasons (work/commerce) | 2 = Health care | 3 = Documentary procedures | 4 = Studies or military service | 5 = Violence, insecurity or disputes | 6 = Recreation, tourism and anniversaries | 7 = Family matters | 8 = Environmental conditions (floods or ravines) | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_razon_before_ind,icemr2,,Second reason for moving from previous home,Another reason you moved from your previous home,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,variable,Another reason you moved from your previous home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
leer_escribir,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022104,Literacy level,Can you read and write?,Participant,,,variable,Can you read and write?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
nm_level_study,icemr2,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,Degree of instruction,Participant,,,variable,Degree of instruction:,1 = Illiterate/No level | 2 = Initial Education | 3 = Incomplete Elementary | 4 = Complete Elementary | 5 = Incomplete High School | 6 = Complete High School | 7 = Higher Non-University Incomplete | 8 = Complete Non-University Higher | 9 = Incomplete University College | 10 = Full University Superior | 11 = Graduate | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
asistencia_estudios,icemr2,http://purl.obolibrary.org/obo/EUPATH_0054021,Attending classes,Are you attending school?,Participant,,,variable,Are you attending school?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
muac,icemr2,http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC,Centimeters recorded on the treadmill (MUAC),Participant,,,variable,Centimeters recorded on the treadmill (MUAC),NA,,,,,ICEMR2_cross_sectional,cm,http://purl.obolibrary.org/obo/UO_0000015,,,,yes,,,
muac_cat,icemr2,,Measuring tape color,What color does the measuring tape register?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,variable,What color does the measuring tape register?,1 = Red | 2 = Yellow | 3 = Green,,,,,ICEMR2_cross_sectional,,,,,,,,,
hist_fever,icemr2,,Fever in last month,Fever or fever in the last month,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Fever or fever in the last month,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
date_fever,icemr2,http://purl.obolibrary.org/obo/EUPATH_0060033,Subjective fever start date,Date of fever in the last month,Participant,,,variable,Date of fever in the last month,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mal_l_month,icemr2,,Malaria in last month,Have you had malaria in the last month?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Have you had malaria in the last month?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
med_mal,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022133,Malaria medication in last 30 days,Use of antimalarial medication in the last month,Participant,,,variable,Use of antimalarial medication in the last month,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
malaria_type_commu,icemr2,,Type of malaria,What kind of malaria was it?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,What kind of malaria was it?,1 = Benign Malaria (Vivax) | 2 = Malignant Malaria (Falciparum) | 3 = Mixed | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
name_med,icemr2,http://purl.obolibrary.org/obo/EUPATH_0040022,Antimalarial category,Drug name,Participant,,,variable,Drug name,"1 = Chloroquine and Primaquine | 2 = Artesunate and Mefloquine | 3 = Mefloquine only | 4 = Artesunate, Mefloquine and Primaquine | 88 = Other | 99 = Don't know/No answer",,,,,ICEMR2_cross_sectional,,,,,,,,,
o_name_med,icemr2,http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,"Drug name, specify",Participant,,,variable,"Drug name, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
begin_med,icemr2,http://purl.obolibrary.org/obo/EUPATH_0023050,Treatment start date,Treatment start date,Participant,,,variable,Treatment start date,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
complete_med,icemr2,http://purl.obolibrary.org/obo/EUPATH_0041092,Completed antimalarial treatment course,Did you complete your treatment?,Participant,,,variable,Did you complete your treatment?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,,Participant,,,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_1,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022204,Headache,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Headache,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_2,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022203,Chills,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Chills,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_3,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022217,Sweating,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Profuse sweating,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_4,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022214,Nausea,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Nausea,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_5,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022221,Vomiting,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Vomiting,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_6,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022200,Abdominal pain,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Stomach ache,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_7,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022218,Dizziness,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Dizziness,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_8,icemr2,,Fatigue,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Fatigue/Decay,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_9,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022213,Muscle aches,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Muscle/joint pain,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_10,icemr2,,General malaise,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: General malaise,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_mes_88,icemr2,,Other,,Participant,http://purl.obolibrary.org/obo/EUPATH_0022069,Symptoms in the last 30 days,value,Symptom in the last month: Other,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_sint_mes,icemr2,,Symptoms in last 30 days specified,Symptom in the last month: Specify,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,variable,Symptom in the last month: Specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
eess_month,icemr2,,Assistance to the EESS in last month,Assistance to the EESS in the last month,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Assistance to the EESS in the last month,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
enf_diagnos,icemr2,,Other disease diagnosed by the EESS ,Do you have any other disease diagnosed by the EESS?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,Do you have any other disease diagnosed by the EESS?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_enf_diag_eess,icemr2,,Other disease diagnosed by the EESS  specified,What other disease diagnosed by the EESS do you have?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,What other disease diagnosed by the EESS do you have?,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
place_shower,icemr2,,Bathing place,Place where you bathe,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,variable,Place where you bathe,1 = Bathroom inside a house | 2 = Bathroom outside a home | 3 = In the field/river | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_place_shower,icemr2,,Other bathing place specified,"Place where you bathe, specify",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,variable,"Place where you bathe, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
hour_shower,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022250,Bathing time,Time at which you usually go to bathe at home,Participant,,,variable,Time at which you usually go to bathe at home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
hour_wake,icemr2,http://purl.obolibrary.org/obo/EUPATH_0020163,Out of bed time,Time you usually get up at home,Participant,,,variable,Time you usually get up at home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
hour_sleep,icemr2,http://purl.obolibrary.org/obo/NCIT_C64593,Bed time,Time at which you usually go to SLEEP at home,Participant,,,variable,Time at which you usually go to SLEEP at home,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
place_sleep,icemr2,,Sleeping location last night,Where did you sleep last night?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,variable,Where did you sleep last night?,1 = Inside the house | 2 = Exterior of the house | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
tenencia_mosq,icemr2,http://purl.obolibrary.org/obo/EUPATH_0024123,Has bednet,Do you have a mosquito net?,Participant,,,variable,Do you have a mosquito net?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
mosq_3diasomas,icemr2,,Slept under a mosquito net for more than 3 days in the last week,Have you slept under a mosquito net for more than 3 days in the last week?,Participant,http://purl.obolibrary.org/obo/EUPATH_0021097,Personal vector intervention,variable,Have you slept under a mosquito net for more than 3 days in the last week?,0 = No | 1 = Yes | 99 = Don't know/No answer,,,,,ICEMR2_cross_sectional,,,,,,,,,
main_act_ec,icemr2,,Main economic activity in the last month,Main economic activity in the last month,Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,variable,Main economic activity in the last month,1 = Journeyman | 2 = Wood extractor | 3 = Fisherman | 4 = Rancher | 5 = Farmer | 6 = Trader | 7 = Housewife | 8 = Student | 9 = Motorcycle taxi driver | 0 = None | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_main_act,icemr2,,Other main economic activity in the last month specified,"Main economic activity in the last month, specify",Participant,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,variable,"Main economic activity in the last month, specify",NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
temp_axilar,icemr2,http://purl.obolibrary.org/obo/OBI_0003072,Axillary temperature,Axillary temperature,Participant,,,variable,Axillary temperature,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
febril,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022207,Fever,"The person has a fever of 37.5 or more, or reported having a fever in the last month",Participant,,,variable,"The person has a fever of 37.5 or more, or reported having a fever in the last month",0 = No cumple | 1 = Yes cumple,,,,,ICEMR2_cross_sectional,,,,,,,,,
comu_act,icemr2,,Community where you work,Community in which you work,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,variable,Community in which you work,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
distr_act,icemr2,,District where you work,District where you work,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,variable,District where you work,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
