variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
lugar_dormir_viaje,icemr2,,Sleeping location in last trip?,Where did you sleep during your last trip?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Where did you sleep during your last trip?,1 = In the means of transport | 2 = In a house | 3 = In the field | 88 = Other,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_lugar_dormir_viaje,icemr2,,Sleeping location in last trip specified,Where did you sleep during your last trip? Specify,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Where did you sleep during your last trip? Specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
hora_dormir_viaje,icemr2,,Sleeping time in last trip,Time you slept during your last trip,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Time you slept during your last trip,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
mosquitero_viaje,icemr2,,Sleeping under mosquito net in last trip ,Did you sleep under a mosquito net during your last trip?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Did you sleep under a mosquito net during your last trip?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
ducha_viaje,icemr2,,Bathing location in last trip,Where did you bathe during your last trip?,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Where did you bathe during your last trip?,1 = Bathroom inside a house | 2 = Bathroom outside a home | 3 = In the field/river | 0 = Does not | 88 = Other | NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
o_ducha_viaje,icemr2,,Bathing location in last trip specified,Where did you bathe during your last trip? Specify,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,variable,Where did you bathe during your last trip? Specify,NA,,,,,ICEMR2_cross_sectional,,,,,,,,,
,icemr2,,Symptom on your last trip,,Participant,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,multifilter,,,,,,,ICEMR2_cross_sectional,,,,,,,,,
fiebre_trans_viaje,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022207,Fever,,Participant, ,Symptom on your last trip,value,Did you have a fever or fever during your last trip?,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_1,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022204,Headache,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Headache,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_2,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022203,Chills,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Chills,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_3,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022217,Sweating,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Profuse sweating,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_4,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022214,Nausea,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Nausea,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_5,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022221,Vomiting,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Vomiting,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_6,icemr2,,Stomach ache,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Stomach ache,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_7,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022218,Dizziness,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Dizziness,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_8,icemr2,,Fatigue,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Fatigue/Decay,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_9,icemr2,http://purl.obolibrary.org/obo/EUPATH_0022202,Joint pain,,Participant,,Symptom on your last trip,value,Symptom on your last trip: Muscle/joint pain,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
sint_viaje_10,icemr2,,General malaise,,Participant,,Symptom on your last trip,value,Symptom on your last trip: General malaise,0 = No | 1 = Yes,,,,,ICEMR2_cross_sectional,,,,,,,,,
