file,uniqueVar,dataSet,variable,values,mappedTerms,valueOrder,dataFile,variable_dataFile,boolean,notes
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number..1,WWARN_ACT,marker.group_pfmdr1.copy.number..1,"c(""pfmdr1 copy number >1"", ""pfmdr1 copy number >1"", ""pfmdr1 copy number >1"")",pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number..1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.copy.number..1,WWARN_ACT,marker.group_pfmdr1.copy.number..1,pfmdr1 copy number >1,pfmdr1 copy number >1,,wwarn_act_wide,marker.group_pfmdr1.copy.number..1,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.nfsnd,WWARN_ACT,marker.group_pfmdr1.nfsnd,pfmdr1 NxxxD,pfmdr1 NxxxD,,wwarn_act_wide,marker.group_pfmdr1.NFSND,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.76k.t,WWARN_ACT,marker.group_pfcrt.76k.t,pfcrt 76K/T,pfcrt 76K/T,,wwarn_act_wide,marker.group_pfcrt.76K.T,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.n86,WWARN_ACT,marker.group_pfmdr1.n86,pfmdr1 N86,pfmdr1 N86,,wwarn_act_wide,marker.group_pfmdr1.N86,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.86n.y,WWARN_ACT,marker.group_pfmdr1.86n.y,pfmdr1 86N/Y,pfmdr1 86N/Y,,wwarn_act_wide,marker.group_pfmdr1.86N.Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.y184,WWARN_ACT,marker.group_pfmdr1.y184,pfmdr1 Y184,pfmdr1 Y184,,wwarn_act_wide,marker.group_pfmdr1.Y184,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.184y.f,WWARN_ACT,marker.group_pfmdr1.184y.f,pfmdr1 184Y/F,pfmdr1 184Y/F,,wwarn_act_wide,marker.group_pfmdr1.184Y.F,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.s1034,WWARN_ACT,marker.group_pfmdr1.s1034,pfmdr1 S1034,pfmdr1 S1034,,wwarn_act_wide,marker.group_pfmdr1.S1034,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.n1042,WWARN_ACT,marker.group_pfmdr1.n1042,pfmdr1 N1042,pfmdr1 N1042,,wwarn_act_wide,marker.group_pfmdr1.N1042,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.d1246,WWARN_ACT,marker.group_pfmdr1.d1246,pfmdr1 D1246,pfmdr1 D1246,,wwarn_act_wide,marker.group_pfmdr1.D1246,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.k76,WWARN_ACT,marker.group_pfcrt.k76,pfcrt K76,pfcrt K76,,wwarn_act_wide,marker.group_pfcrt.K76,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cmnk,WWARN_ACT,marker.group_pfcrt.cmnk,pfcrt 72-76 CxxxK,pfcrt 72-76 CxxxK,,wwarn_act_wide,marker.group_pfcrt.CMNK,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.ciet,WWARN_ACT,marker.group_pfcrt.ciet,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CIET,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cmnt,WWARN_ACT,marker.group_pfcrt.cmnt,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CMNT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.cmdt,WWARN_ACT,marker.group_pfcrt.cmdt,pfcrt 72-76 CxxxT,pfcrt 72-76 CxxxT,,wwarn_act_wide,marker.group_pfcrt.CMDT,,
