IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049156,Child immediate clinical history,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042289,Child physical exam,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0042002,Obstetrics,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049153,Randomized patient withdrew or was withdrawn,WOMAN_Trial_dataset_anonymised::wd,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,randomised patients who later withdrew/ were withdrawn from the trial,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049152,Treatment allocation unblinded,WOMAN_Trial_dataset_anonymised::unblinded,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,was treatment allocation unblinded,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure,WOMAN_Trial_dataset_anonymised::systolicbloodpressure,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,systolic blood pressure in mmHg,,variable,,,,WOMAN,,mmHg,http://purl.obolibrary.org/obo/UO_0000272,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049136,Visual scale of patient's health by healthcare provider,WOMAN_Trial_dataset_anonymised::visualanaloguescale,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,scale of how good or bad patienit's health is in healthcarer's opinion,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049101,Anxious or depressed,WOMAN_Trial_dataset_anonymised::anxietydepression,,WOMAN_Trial_dataset_anonymised,Patient anxious or depressed at discharge or at 42 days,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient anxious or depressed at discharge or at 42 days,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049104,Cardiac failure,WOMAN_Trial_dataset_anonymised::cardiacfailure,,WOMAN_Trial_dataset_anonymised,Patient complications: cardiac failure,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: cardiac failure,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049107,Deep vein thrombosis,WOMAN_Trial_dataset_anonymised::deepveinthrombosis,,WOMAN_Trial_dataset_anonymised,Patient complications: deep vein thrombosis,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,patient complications: deep vein thrombosis,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049109,Estaimated blood loss,WOMAN_Trial_dataset_anonymised::estbloodloss,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,estimated volume of blood lost in mL,,variable,,,,WOMAN,,ml,http://purl.obolibrary.org/obo/UO_0000098,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049124,Experiencing any problems with selfcare,WOMAN_Trial_dataset_anonymised::selfcare,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,"patient experiencing any problems with selfcare, at discharge or at 42 days",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049133,Experiencing any problems with usual activities,WOMAN_Trial_dataset_anonymised::usualactivities,,WOMAN_Trial_dataset_anonymised,"Patient experiencing any problems with usual activities at discharge, or at 42 days",Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,"patient experiencing any problems with usual activities at discharge, or at 42 days",,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049126,Hemodynamic instability,WOMAN_Trial_dataset_anonymised::signsinstability,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,signs of haemodynamic instability,,variable,,,,WOMAN,,,,,,,,,
