variable	variable	values	mappedTerm
bruise-public::sex	bruise-public::sex	0	Male
bruise-public::sex	bruise-public::sex	1	Female
diar-public::mother_edu	diar-public::mother_edu	0	Incomplete primary
diar-public::mother_edu	diar-public::mother_edu	1	Complete primary
diar-public::mother_edu	diar-public::mother_edu	2	Any secondary
diar-public::mother_edu	diar-public::mother_edu	9	Don't know
diar-public::mother_edu	EUPATH_0036220	dont know	Don't know
endline-anthro-public::mother_edu	endline-anthro-public::mother_edu	0	Incomplete primary
endline-anthro-public::mother_edu	endline-anthro-public::mother_edu	1	Complete primary
endline-anthro-public::mother_edu	endline-anthro-public::mother_edu	2	Any secondary
endline-anthro-public::mother_edu	endline-anthro-public::mother_edu	9	Don't know
endline-anthro-public::sex	endline-anthro-public::sex	0	Male
endline-anthro-public::sex	endline-anthro-public::sex	1	Female
midline-anthro-public::mother_edu	midline-anthro-public::mother_edu	0	Incomplete primary
midline-anthro-public::mother_edu	midline-anthro-public::mother_edu	1	Complete primary
midline-anthro-public::mother_edu	midline-anthro-public::mother_edu	2	Any secondary
midline-anthro-public::mother_edu	midline-anthro-public::mother_edu	9	Don't know
midline-anthro-public::sex	midline-anthro-public::sex	0	Male
midline-anthro-public::sex	midline-anthro-public::sex	1	Female
diar-public::sex	diar-public::sex	0	Male
diar-public::sex	diar-public::sex	1	Female
diar-public::tv	diar-public::tv	0	No TV
diar-public::tv	diar-public::tv	1	Owns TV
diar-public::tv	diar-public::tv	9	Missing/DK
uptake-baseline-public::household_timepoint	uptake-baseline-public::household_timepoint	{{^.*}}	0
uptake-midline-public::household_timepoint	uptake-midline-public::household_timepoint	{{^.*}}	1
uptake-endline-public::household_timepoint	uptake-endline-public::household_timepoint	{{^.*}}	2
bruise-public::bruise2	bruise-public::bruise2	0	No
bruise-public::bruise2	bruise-public::bruise2	1	Yes
bruise-public::bruise7	bruise-public::bruise7	0	No
bruise-public::bruise7	bruise-public::bruise7	1	Yes
uptake-baseline-public::chlorine	uptake-baseline-public::chlorine	0	No
uptake-baseline-public::chlorine	uptake-baseline-public::chlorine	1	Yes
uptake-midline-public::chlorine	uptake-midline-public::chlorine	0	No
uptake-midline-public::chlorine	uptake-midline-public::chlorine	1	Yes
uptake-endline-public::chlorine	uptake-endline-public::chlorine	0	No
uptake-endline-public::chlorine	uptake-endline-public::chlorine	1	Yes
diar-public::diarr2	diar-public::diarr2	0	No
diar-public::diarr2	diar-public::diarr2	1	Yes
diar-public::diarr7	diar-public::diarr7	0	No
diar-public::diarr7	diar-public::diarr7	1	Yes
uptake-baseline-public::imp_lat	uptake-baseline-public::imp_lat	0	No
uptake-baseline-public::imp_lat	uptake-baseline-public::imp_lat	1	Yes
uptake-midline-public::imp_lat	uptake-midline-public::imp_lat	0	No
uptake-midline-public::imp_lat	uptake-midline-public::imp_lat	1	Yes
uptake-endline-public::imp_lat	uptake-endline-public::imp_lat	0	No
uptake-endline-public::imp_lat	uptake-endline-public::imp_lat	1	Yes
bruise-public::newbirth	bruise-public::newbirth	0	No
bruise-public::newbirth	bruise-public::newbirth	1	Yes
diar-public::newbirth	diar-public::newbirth	0	No
diar-public::newbirth	diar-public::newbirth	1	Yes
endline-anthro-public::newbirth	endline-anthro-public::newbirth	0	No
endline-anthro-public::newbirth	endline-anthro-public::newbirth	1	Yes
midline-anthro-public::newbirth	midline-anthro-public::newbirth	0	No
midline-anthro-public::newbirth	midline-anthro-public::newbirth	1	Yes
endline-anthro-public::sstunted	endline-anthro-public::sstunted	0	No
endline-anthro-public::sstunted	endline-anthro-public::sstunted	1	Yes
midline-anthro-public::sstunted	midline-anthro-public::sstunted	0	No
midline-anthro-public::sstunted	midline-anthro-public::sstunted	1	Yes
uptake-baseline-public::hws	uptake-baseline-public::hws	0	No
uptake-baseline-public::hws	uptake-baseline-public::hws	1	Yes
uptake-midline-public::hws	uptake-midline-public::hws	0	No
uptake-midline-public::hws	uptake-midline-public::hws	1	Yes
uptake-endline-public::hws	uptake-endline-public::hws	0	No
uptake-endline-public::hws	uptake-endline-public::hws	1	Yes
endline-anthro-public::stunted	endline-anthro-public::stunted	0	No
endline-anthro-public::stunted	endline-anthro-public::stunted	1	Yes
midline-anthro-public::stunted	midline-anthro-public::stunted	0	No
midline-anthro-public::stunted	midline-anthro-public::stunted	1	Yes
diar-public::targetchild	diar-public::targetchild	0	No
diar-public::targetchild	diar-public::targetchild	1	Yes
endline-anthro-public::targetchild	endline-anthro-public::targetchild	0	No
endline-anthro-public::targetchild	endline-anthro-public::targetchild	1	Yes
midline-anthro-public::targetchild	midline-anthro-public::targetchild	0	No
midline-anthro-public::targetchild	midline-anthro-public::targetchild	1	Yes
endline-anthro-public::underwt	endline-anthro-public::underwt	0	No
endline-anthro-public::underwt	endline-anthro-public::underwt	1	Yes
midline-anthro-public::underwt	midline-anthro-public::underwt	0	No
midline-anthro-public::underwt	midline-anthro-public::underwt	1	Yes
