variable	variable2	values	mappedTerm	ordinalValue
village	village	133030304	Kibingo	NA
village	village	133030305	Kihabwemi North	NA
village	village	133030306	Kihabwemi South	NA
village	village	133030307	Mugabi	NA
village	village	133030308	Musaijamukuru A	NA
village	village	133030309	Musaijamukuru B	NA
village	village	133030401	Ibanda	NA
village	village	133030402	Karama A	NA
village	village	133030403	Karama B	NA
village	village	133030404	Kisiiha	NA
village	village	133030405	Kyawakame	NA
village	village	133030501	Kabaale/Kyabicwe	NA
village	village	133030502	Kigwangu	NA
village	village	133030503	Kihooko	NA
village	village	133030504	Kijugunya	NA
village	village	133030505	Kitindura	NA
village	village	133030506	Kitoole	NA
village	village	133030507	Mumiti	NA
village	village	133030508	Ruhunga	NA
village	village	133030509	Rwemparaki	NA
village	village	133040101	Buhimba East	NA
village	village	133040102	Kizinga	NA
village	village	133040103	Kizinga West	NA
village	village	133040104	Nyantwe	NA
village	village	133040105	Rwobubazi	NA
village	village	133040201	Buhimba Central	NA
village	village	133040202	Kitunduru	NA
village	village	133040203	Kyabatalya	NA
village	village	133040204	Kyamagigi	NA
village	village	133040205	Kyeganywa	NA
village	village	133040301	Kigaaya Central	NA
village	village	133040302	Kigaaya East	NA
village	village	133040303	Kyabanjeru	NA
village	village	133040304	Kyabanjojol	NA
village	village	133040401	Kakooge North	NA
village	village	133040402	Kakooge South	NA
village	village	133040403	Kigaaya West	NA
village	village	133040404	Kinyagirwa	NA
village	village	133040405	Nyantende	NA
village	village	133050101	Budaka Lower	NA
village	village	133050102	Budaka Upper	NA
village	village	133050103	Bujura I	NA
village	village	133050104	Bujura II	NA
village	village	133050105	Kicweeke East	NA
village	village	133050106	Kicweeke West	NA
village	village	133050107	Kiteru	NA
village	village	133050108	Kyakagundura	NA
village	village	133050201	Bubaale North	NA
village	village	133050202	Bubaale South	NA
village	village	133050203	Buhiiga Lower	NA
village	village	133050204	Buhiiga Upper	NA
village	village	133050205	Karongo	NA
village	village	133050206	Kikere	NA
village	village	133050207	Kisiita	NA
village	village	133050208	Mwendante	NA
village	village	133050301	Bujumbura East	NA
village	village	133050302	Bujumbura West	NA
village	village	133050303	Bujwahya East	NA
village	village	133050304	Bujwahya West	NA
village	village	133050305	Kaibalya	NA
village	village	133050306	Kihomboza I	NA
village	village	133050307	Kihomboza II	NA
village	village	133050308	Kihomboza III	NA
village	village	133050309	Kyarwabuyamba North	NA
village	village	133050310	Kyarwabuyamba South	NA
village	village	133050311	Rwenkobe	NA
village	village	133050401	Bulemwa East	NA
village	village	133050402	Bulemwa West	NA
village	village	133050403	Kakundi	NA
village	village	133050404	Katasiha Fort	NA
village	village	133050405	Katasiha Main	NA
village	village	133050406	Katasiha Wambabya	NA
village	village	133050407	Kijwenge	NA
village	village	133050408	Kizooba	NA
village	village	133050409	Kyesiiga East	NA
village	village	133050410	Kyesiiga West	NA
village	village	133050411	Parajwoki	NA
village	village	133060101	Kabaale T.c A	NA
village	village	133060102	Kataaba	NA
village	village	133060103	Katooke	NA
village	village	133060104	Kayera	NA
village	village	133060105	Kigaaga A	NA
village	village	133060106	Kigaaga B	NA
village	village	133060107	Kijumba	NA
village	village	133060108	Kitegwa A	NA
village	village	133060109	Kitegwa B	NA
village	village	133060110	Ngemwa	NA
village	village	133060111	Nkwaki	NA
village	village	133060112	Nyahaira	NA
village	village	133060113	Nyakasinina	NA
village	village	133060114	Nyamasoga	NA
village	village	133060115	Rugonjo	NA
village	village	133060116	Zorobbi	NA
village	village	133060201	Bigando	NA
village	village	133060202	Bisenyi	NA
village	village	133060203	Buseruka T/C	NA
village	village	133060204	Karanwango	NA
village	village	133060205	Kasenyi	NA
village	village	133060206	Kyakabooga	NA
village	village	133060207	Lyato	NA
village	village	133060208	Nyabihukuru	NA
village	village	133060209	Nyakabingo	NA
village	village	133060210	Rwamutonga	NA
village	village	133060301	Fofo	NA
village	village	133060302	Hoimo	NA
village	village	133060303	Kabanda	NA
village	village	133060304	Kaiso	NA
village	village	133060305	Kijangi	NA
village	village	133060306	Kiryamboga	NA
village	village	133060307	Mbegu	NA
village	village	133060308	Toonya A	NA
village	village	133060309	Toonya B	NA
village	village	133070101	Butale	NA
village	village	133070102	Kasasa	NA
village	village	133070103	Kasingo	NA
village	village	133070104	Katuugo	NA
village	village	133070105	Kyabahesi	NA
village	village	133070106	Kyakaliba	NA
village	village	133070107	Mpaija	NA
village	village	133070108	Rukooge	NA
village	village	133070201	Itara	NA
village	village	133070202	Kibingo Lower	NA
village	village	133070203	Kibingo Upper	NA
village	village	133070204	Kijogo	NA
village	village	133070205	Kyakadongo	NA
village	village	133070206	Ruyanja East	NA
village	village	133070207	Ruyanja West	NA
village	village	133070301	Kiduuma Central	NA
village	village	133070302	Kigabu	NA
village	village	133070303	Kihamba	NA
village	village	133070304	Kihungura	NA
village	village	133070305	Kiriisa	NA
village	village	133070306	Kirubika	NA
village	village	133070307	Kyabalanga	NA
village	village	133070308	Nyarugabu	NA
village	village	133070309	Wabiku	NA
village	village	133070310	Wakyoya	NA
village	village	133070401	Buswekera North	NA
village	village	133070402	Buswekera South	NA
village	village	133070403	Kaitira	NA
village	village	133070404	Kayanja	NA
village	village	133070405	Kihukya	NA
village	village	133070406	Kisonde	NA
village	village	133070407	Kitemba	NA
village	village	133070408	Kitoma	NA
village	village	133080101	Ikoba I	NA
village	village	133080102	Ikoba II	NA
village	village	133080103	Kaabira	NA
village	village	133080104	Kabaganda	NA
village	village	133080105	Kabango	NA
village	village	133080106	Kahembe	NA
village	village	133080107	Kasenene	NA
village	village	133080108	Kiduubi	NA
village	village	133080109	Kihenda	NA
village	village	133080110	Kihooko	NA
village	village	133080111	Kikonda I	NA
village	village	133080112	Kikonda II	NA
village	village	133080113	Kisindi	NA
village	village	133080114	Kisonsomya	NA
village	village	133080115	Kitoole	NA
village	village	133080116	Kyakasoro	NA
village	village	133080117	Kyamugoba	NA
village	village	133080118	Kyarulyaka	NA
village	village	133080119	Nyakabaale	NA
village	village	133080120	Rwobuhuka	NA
village	village	133080201	Kinenamabaale	NA
village	village	133080202	Kitaganya	NA
village	village	133080203	Kitooke/Kitaana	NA
village	village	133080204	Kituuru	NA
village	village	133080205	Kyabahinda	NA
village	village	133080206	Kyamujogo	NA
village	village	133080207	Maaya A	NA
village	village	133080208	Maaya B	NA
village	village	133080209	Maaya C	NA
village	village	133080210	Rusoona	NA
village	village	133080211	Rwentahi	NA
village	village	133080301	Hohwa	NA
village	village	133080302	Kyenjojo	NA
village	village	133080303	Ndongo	NA
village	village	133080304	Nyairongo	NA
village	village	133080305	Nyanseke	NA
village	village	133080306	Rwengabi	NA
village	village	133080401	Bwijongoro	NA
village	village	133080402	Karama	NA
village	village	133080403	Kiburara(A)	NA
village	village	133080404	Kiburara(B)	NA
village	village	133080405	Kimbugu	NA
village	village	133080406	Kisaaru Tea Estate	NA
village	village	133080407	Kyabasaara	NA
village	village	133080408	Kyabayanja	NA
village	village	133080409	Nyaigugu	NA
village	village	133080410	Nyakafunjo	NA
village	village	133080411	Nyangabbi	NA
village	village	133080501	Kyehorro Lower	NA
village	village	133080502	Kyehorro Upper	NA
village	village	133080503	Nkondo I	NA
village	village	133080504	Nkondo II	NA
village	village	133080505	Nyawaiga	NA
village	village	133080506	Sebagorro	NA
village	village	133090101	Bank Cell	NA
village	village	133090102	Hospital	NA
village	village	133090103	Isaka Lower	NA
village	village	133090104	Isaka Upper	NA
village	village	133090105	Kijungu	NA
village	village	133090106	Market Cell	NA
village	village	133090107	Mosque Cell	NA
village	village	133090108	Park Cell	NA
village	village	133090109	Police Cell	NA
village	village	133090110	Public School	NA
village	village	133090201	Kiganda Middle	NA
village	village	133090202	Kiganda Mpunda	NA
village	village	133090203	Kiganda Upper	NA
village	village	133090204	Lusaka Lower	NA
village	village	133090205	Lusaka Middle	NA
village	village	133090206	Lusaka Upper	NA
village	village	133090301	Bussiisi East	NA
village	village	133090302	Kalyabuhire	NA
village	village	133090303	Katuugo	NA
village	village	133090304	Kibati I	NA
village	village	133090305	Kibati II	NA
village	village	133090306	Kigaragara	NA
village	village	133090307	Kiryatete East	NA
village	village	133090308	Kiryatete Lower	NA
village	village	133090309	Kiryatete Upper	NA
village	village	133090401	Bujwahya	NA
village	village	133090402	Busiisi West	NA
village	village	133090403	Kiganda I	NA
village	village	133090404	Kiganda II	NA
village	village	133090405	Kiryatete West	NA
village	village	133090406	Rusembe I	NA
village	village	133090407	Rusembe II	NA
village	village	133100101	Bugoma	NA
village	village	133100102	Buhirigi	NA
village	village	133100103	Bwikya	NA
village	village	133100104	Hanga	NA
village	village	133100105	Kanyiira	NA
village	village	133100106	Katugo	NA
village	village	133100107	Kitunga	NA
village	village	133100108	Lenju	NA
village	village	133100109	Marongo	NA
village	village	133100110	Nyamudeija	NA
village	village	133100201	Buraza	NA
village	village	133100202	Kapaapi I	NA
village	village	133100203	Kapaapi II	NA
village	village	133100204	Kibengeya	NA
village	village	133100205	Kibuye	NA
village	village	133100206	Kiryawanga	NA
village	village	133100207	Kyamukwenda	NA
village	village	133100208	Siiba	NA
village	village	133100301	Bikunyu	NA
village	village	133100302	Kibiro	NA
village	village	133100303	Runga	NA
village	village	133100304	Songagaagi	NA
village	village	133100305	Waaki	NA
village	village	133100401	Kiganja	NA
village	village	133100402	Kikambagyo	NA
village	village	133100403	Kikumba	NA
village	village	133100404	Kiryandongo	NA
village	village	133100405	Kitekura	NA
village	village	133100406	Kyeramya	NA
village	village	133100501	Kamugembe I	NA
village	village	133100502	Kamugembe II	NA
village	village	133100503	Kigomba	NA
village	village	133100504	Kijongo	NA
village	village	133100505	Kyamuchumba	NA
village	village	133100601	Bukona	NA
village	village	133100602	Haibaale I	NA
village	village	133100603	Haibaale II	NA
village	village	133100604	Kabatindule	NA
village	village	133100605	Kisaka	NA
village	village	133100606	Kisukuma	NA
village	village	133100607	Kyakaseto	NA
village	village	133100608	Kyamabara	NA
village	village	133100609	Ndaragi I	NA
village	village	133100610	Ndaragi II	NA
village	village	133100701	Hanga	NA
village	village	133100702	Kajuura	NA
village	village	133100703	Kyabisagazi I	NA
village	village	133100704	Kyabisagazi II	NA
village	village	133110101	Kikumba	NA
village	village	133110102	Kyakazooba	NA
village	village	133110201	Kiheesi	NA
village	village	133110202	Kiryandongo	NA
village	village	133110301	Kigorobya I	NA
village	village	133110302	Kigorobya II	NA
village	village	133110401	Kikonkona	NA
village	village	133110402	Kikwanana	NA
village	village	133120101	Birungu East	NA
village	village	133120102	Birungu West	NA
village	village	133120103	Buhamba	NA
village	village	133120104	Buniina	NA
village	village	133120105	Katugo	NA
village	village	133120106	Kiseke	NA
village	village	133120107	Kiswero	NA
village	village	133120108	Kitembeka	NA
village	village	133120109	Kitesukura	NA
village	village	133120110	Koburungi	NA
village	village	133120111	Kyanguhira	NA
village	village	133120112	Mbiiwe	NA
village	village	133120113	Mpunda	NA
village	village	133120114	Ntotoma	NA
village	village	133120115	Nyawampamba	NA
village	village	133120201	Butembe A	NA
village	village	133120202	Butembe B	NA
village	village	133120203	Igagaara	NA
village	village	133120204	Iseisa A	NA
village	village	133120205	Iseisa B	NA
village	village	133120206	Kanyanyama	NA
village	village	133120207	Kibugairu	NA
village	village	133120208	Kyakakoizi	NA
village	village	133120209	Rwamulinda	NA
village	village	133120301	Bulyango	NA
village	village	133120302	Kaboijana East	NA
village	village	133120303	Kiboijana West	NA
village	village	133120304	Kikoonoka	NA
village	village	133120305	Kiraira East	NA
village	village	133120306	Kiraira West	NA
village	village	133120307	Kyakataba	NA
village	village	133120308	Mbarara East	NA
village	village	133120309	Mbarara West	NA
village	village	133120310	Nyakabaale	NA
village	village	133120311	Nyakatooke	NA
village	village	133120401	Birongo	NA
village	village	133120402	Bukerenge	NA
village	village	133120403	Katahikwa	NA
village	village	133120404	Kibanjwa	NA
village	village	133120405	Kiboirya	NA
village	village	133120406	Kikerege	NA
village	village	133120407	Kimbyana	NA
village	village	133120408	Kinenamabaale	NA
village	village	133120409	Kipapati	NA
village	village	133120410	Kyamukunjuki	NA
village	village	133120411	Kyarusura	NA
village	village	133120501	Bwendero A	NA
village	village	133120502	Bwendero B	NA
village	village	133120503	Dwoli East	NA
village	village	133120504	Dwoli Kinyara	NA
village	village	133120505	Dwoli West	NA
village	village	133120506	Kiizi	NA
village	village	133120507	Kyambalimbwire	NA
village	village	133120508	Wagaisa	NA
village	village	133120601	Bukwara	NA
village	village	133120602	Kiburwa East	NA
village	village	133120603	Kiburwa West	NA
village	village	133120604	Kiryangobe	NA
village	village	133120605	Kitoba	NA
village	village	133120606	Kyabasengya East	NA
village	village	133120607	Kyabasengya West	NA
village	village	133120608	Nyakafunjo	NA
village	village	133130101	Bulimya	NA
village	village	133130102	Butyamba	NA
village	village	133130103	Kabeerya	NA
village	village	133130104	Kakende	NA
village	village	133130105	Kamusunsi	NA
village	village	133130106	Kicaaya	NA
village	village	133130107	Kicakamya	NA
village	village	133130108	Kigorora	NA
village	village	133130109	Kigozi	NA
village	village	133130110	Kisambo	NA
village	village	133130111	Kisiiga	NA
village	village	133130112	Kisonko	NA
village	village	133130113	Kitagasa	NA
village	village	133130114	Kiziranfumbi	NA
village	village	133130115	Kyaisamba	NA
village	village	133130116	Kyarwensambya	NA
village	village	133130117	Mukabara	NA
village	village	133130118	Rujunju	NA
village	village	133130119	Rumogi	NA
village	village	133130201	Butimba East	NA
village	village	133130202	Butimba West	NA
village	village	133130203	Kanyegaramira	NA
village	village	133130204	Kidoma	NA
village	village	133130205	Kihiigwa	NA
village	village	133130206	Kihohoro	NA
village	village	133130207	Kitambara	NA
village	village	133130208	Kyakatemba	NA
village	village	133130209	Nyamigogo	NA
village	village	133130210	Rusaka	NA
village	village	133130211	Rwamusaga	NA
village	village	133130301	Kaigo	NA
village	village	133130302	Kajoga	NA
village	village	133130303	Kichompyo	NA
village	village	133130304	Kicuunda	NA
village	village	133130305	Kigabu	NA
village	village	133130306	Kihuguzi	NA
village	village	133130307	Kikuuba A	NA
village	village	133130308	Kikuuba B	NA
village	village	133130309	Kinywambeho	NA
village	village	133130310	Kiryatete	NA
village	village	133130311	Kisambya	NA
village	village	133130312	Kiswaza	NA
village	village	133130313	Kyandangano	NA
village	village	133130314	Munteme	NA
village	village	133130315	Murwoma	NA
village	village	133130316	Muziranduru	NA
village	village	133130317	Nyansororo	NA
village	village	133130318	Rwengabi	NA
village	village	133140101	Kakindo	NA
village	village	133140102	Katikara	NA
village	village	133140103	Kibaire	NA
village	village	133140104	Kigungu	NA
village	village	133140105	Kihambya	NA
village	village	133140106	Kihoro	NA
village	village	133140107	Kiseeta	NA
village	village	133140108	Kyakamese	NA
village	village	133140109	Kyamongi	NA
village	village	133140110	Kyampaka	NA
village	village	133140111	Nyaituma	NA
village	village	133140112	Nyakakonge	NA
village	village	133140201	Bigando/Kinoga	NA
village	village	133140202	Busanga	NA
village	village	133140203	Buyanja	NA
village	village	133140204	Goroba	NA
village	village	133140205	Kakira	NA
village	village	133140206	Kasinina	NA
village	village	133140207	Kibali	NA
village	village	133140208	Kibingo	NA
village	village	133140209	Kihohoro	NA
village	village	133140210	Kikara	NA
village	village	133140211	Kiraanga	NA
village	village	133140212	Kirimya	NA
village	village	133140213	Kisagara	NA
village	village	133140214	Kisiita	NA
village	village	133140215	Kitema	NA
village	village	133140216	Kyabanati	NA
village	village	133140217	Nyakaihura	NA
village	village	133140218	Rwobunyonyi	NA
village	village	133140301	Bugomoro	NA
village	village	133140302	Bwizibwera	NA
village	village	133140303	Karungu	NA
village	village	133140304	Kasomoro	NA
village	village	133140305	Katuugo	NA
village	village	133140306	Kibegenya	NA
village	village	133140307	Kihwera	NA
village	village	133140308	Kiryabutuzi	NA
village	village	133140309	Kiryankimba	NA
village	village	133140310	Kitongole	NA
village	village	133140311	Kyabigambire	NA
village	village	133140312	Kyarubanga	NA
village	village	133140313	Mparangasi	NA
village	village	133140314	Nyakabaale	NA
village	village	133140401	Bineneza	NA
village	village	133140402	Bugandale	NA
village	village	133140403	Busuuga	NA
village	village	133140404	Kabalikera	NA
village	village	133140405	Kalyango	NA
village	village	133140406	Kanyamunya	NA
village	village	133140407	Kasokero	NA
village	village	133140408	Kasunga	NA
village	village	133140409	Katikara	NA
village	village	133140410	Kigawa	NA
village	village	133140411	Kyakaseeta	NA
village	village	133140412	Nyakabingo East	NA
village	village	133140413	Nyakabingo West	NA
village	village	133140414	Ruhunga	NA
village	village	133150101	Busigi	NA
village	village	133150102	Kacunde	NA
village	village	133150103	Kiina	NA
village	village	133150104	Kyabasambu	NA
village	village	133150105	Kyakapere	NA
village	village	133150106	Kyenyanja	NA
village	village	133150107	Nsonga A	NA
village	village	133150108	Nsonga B	NA
village	village	133150109	Nsuunzu A	NA
village	village	133150110	Nsuunzu B	NA
village	village	133150111	Senjojo	NA
village	village	133150112	Songarau	NA
village	village	133150113	Susa	NA
village	village	133150201	Buhumuriro	NA
village	village	133150202	Butoole I	NA
village	village	133150203	Butoole II	NA
village	village	133150204	Bweera	NA
village	village	133150205	Kakono	NA
village	village	133150206	Kamugamba	NA
village	village	133150207	Kanyegaramire	NA
village	village	133150208	Karokarungi	NA
village	village	133150209	Karongo	NA
village	village	133150210	Kasambya	NA
village	village	133150211	Kasoga	NA
village	village	133150212	Kasoga A	NA
village	village	133150213	Kasoga B	NA
village	village	133150214	Kasungwa	NA
village	village	133150215	Katikara/Butoole	NA
village	village	133150216	Katoma	NA
village	village	133150217	Kibaale	NA
village	village	133150218	Kikoora	NA
village	village	133150219	Kinyamahwa I	NA
village	village	133150220	Kinyamahwa II	NA
village	village	133150221	Kisoroza	NA
village	village	133150222	Kyabarongo	NA
village	village	133150223	Kyamugasa	NA
village	village	133150224	Kyansorosozi	NA
village	village	133150225	Kyarujumba I	NA
village	village	133150226	Kyarujumba II	NA
village	village	133150227	Kyarusesa A	NA
village	village	133150228	Kyarusesa B	NA
village	village	133150229	Mahamba	NA
village	village	133150230	Mandwiga	NA
village	village	133150231	Mburara	NA
village	village	133150232	Nsozi	NA
village	village	133150233	Nyabisojo	NA
village	village	133150234	Nyabunende	NA
village	village	133150235	Nyakafunjo	NA
village	village	133150236	Nyamulimirwa	NA
village	village	133150237	Rwemiseke	NA
village	village	133150238	Rwengabi	NA
village	village	133150239	Tontema	NA
village	village	133150240	Tuhumure	NA
village	village	133150241	Wairagaza	NA
village	village	133150301	Bukinda I	NA
village	village	133150302	Bukinda II	NA
village	village	133150303	Bwizibwera A	NA
village	village	133150304	Bwizibwera B	NA
village	village	133150305	Harubali	NA
village	village	133150306	Kabenena	NA
village	village	133150307	Katikara I	NA
village	village	133150308	Katikara II A	NA
village	village	133150309	Katikara II B	NA
village	village	133150310	Kavule A	NA
village	village	133150311	Kavule B	NA
village	village	133150312	Kyakiyora	NA
village	village	133150313	Kyeya	NA
village	village	133150314	Mulindaihojo	NA
village	village	133150315	Ngurwe A	NA
village	village	133150316	Ngurwe B	NA
village	village	133150317	Nyamiganda	NA
village	village	133150318	Nyamigisa A	NA
village	village	133150319	Nyamigisa B	NA
village	village	133150320	Rwembogo	NA
village	village	133150321	Rweshama	NA
village	village	133150401	Boma	NA
village	village	133150402	Hanga I	NA
village	village	133150403	Hanga II A	NA
village	village	133150404	Hanga II B	NA
village	village	133150405	Hanga West	NA
village	village	133150406	Ikamiro A	NA
village	village	133150407	Ikamiro B	NA
village	village	133150408	Kamwokya	NA
village	village	133150409	Kituuti	NA
village	village	133150410	Kyangwali	NA
village	village	133150411	Ngogoli I	NA
village	village	133150412	Ngogoli II A	NA
village	village	133150413	Ngogoli II B	NA
village	village	133150414	Ngoma	NA
village	village	133150415	Nyakatehe I	NA
village	village	133150416	Nyakatehe II	NA
village	village	133150417	Nyamengo	NA
village	village	133150418	Nyamyehembo	NA
village	village	133150419	Nyansenge A	NA
village	village	133150420	Nyansenge B	NA
village	village	133150421	Rwemisanga	NA
village	village	133150422	Rwensambya	NA
village	village	133160101	Bulinda	NA
village	village	133160102	Bwikya	NA
village	village	133160103	Kakora-Habitat	NA
village	village	133160104	Kanenankumba	NA
village	village	133160105	Kikwite	NA
village	village	133160106	Kinubi	NA
village	village	133160107	Kyakabubi	NA
village	village	133160108	Kyaruiru	NA
village	village	133160109	Kyedikyo	NA
village	village	133160110	Kyetunga	NA
village	village	133160111	Mparo North	NA
village	village	133160112	Mparo South	NA
village	village	133160201	Bucunga	NA
village	village	133160202	Bwanya	NA
village	village	133160203	Kiboni	NA
village	village	133160204	Kicwamba I	NA
village	village	133160205	Kicwamba II	NA
village	village	133160206	Kidooti	NA
village	village	133160207	Kihandagana	NA
village	village	133160208	Kikwatamiigo	NA
village	village	133160209	Kiryabaana	NA
village	village	133160210	Kyakapeya	NA
village	village	133160301	Bulera East	NA
village	village	133160302	Bulera West	NA
village	village	133160303	Butanjwa	NA
village	village	133160304	Kidaiko	NA
village	village	133160305	Kigarama	NA
village	village	133160306	Kihanga	NA
village	village	133160307	Kihemba	NA
village	village	133160308	Kirindamaizi	NA
village	village	133160309	Kisweeka	NA
village	village	133160310	Kitaagi	NA
village	village	133160311	Kyentale	NA
village	village	133160401	Buhanika Lower	NA
village	village	133160402	Buhanika Upper	NA
village	village	133160403	Butebere North	NA
village	village	133160404	Butebere South	NA
village	village	133160405	Kacungiro	NA
village	village	133160406	Kihuule North	NA
village	village	133160407	Kihuule South	NA
village	village	133160408	Kitinti	NA
village	village	133160409	Mbogwe	NA
village	village	133160410	Nyakabungu	NA
village	village	134010101	Bisheshe Central	NA
village	village	134010102	Kankyende I	NA
village	village	134010103	Kankyende II	NA
village	village	134010104	Kankyende III	NA
village	village	134010105	Katooma	NA
village	village	134010106	Kibagarwa I	NA
village	village	134010107	Kibagarwa II	NA
village	village	134010108	Kibagarwa III	NA
village	village	134010109	Kigando	NA
village	village	134010110	Kitontoma Central	NA
village	village	134010111	Kitontoma East	NA
village	village	134010112	Kitontoma West	NA
village	village	134010113	Kyenjogyera	NA
village	village	134010114	Mashuri I	NA
village	village	134010115	Mashuri II	NA
village	village	134010116	Mashuri III	NA
village	village	134010117	Nyinaibare I	NA
village	village	134010118	Nyinaibare II	NA
village	village	134010119	Rushasha I	NA
village	village	134010120	Rushasha II	NA
village	village	134010121	Rwebikoona	NA
village	village	134010122	Rwemereire III	NA
village	village	134010201	Gabaruri	NA
village	village	134010202	Kabaare I	NA
village	village	134010203	Kabaare II	NA
village	village	134010204	Kabaare III	NA
village	village	134010205	Kagango I	NA
village	village	134010206	Kagango II	NA
village	village	134010207	Kagango III	NA
village	village	134010208	Kagango IV	NA
village	village	134010209	Kagango V	NA
village	village	134010210	Keihiro I	NA
village	village	134010211	Keihiro II	NA
village	village	134010212	Kyembogo I	NA
village	village	134010213	Kyembogo II	NA
village	village	134010214	Rushaka I	NA
village	village	134010215	Rushaka II	NA
village	village	134010301	Bishayumbe	NA
village	village	134010302	Kakatsi I	NA
village	village	134010303	Kakatsi II	NA
village	village	134010304	Kakatsi III	NA
village	village	134010305	Mishozi I	NA
village	village	134010306	Mishozi II	NA
village	village	134010307	Mishozi III	NA
village	village	134010401	Birooro I	NA
village	village	134010402	Birooro II	NA
village	village	134010403	Bugarama I	NA
village	village	134010404	Bugarama II	NA
village	village	134010405	Ireme I	NA
village	village	134010406	Ireme II	NA
village	village	134010407	Karangara	NA
village	village	134010408	Kashagazi	NA
village	village	134010409	Kyembogo	NA
village	village	134010410	Muziza Central	NA
village	village	134010411	Rushaka I	NA
village	village	134010412	Rushaka II	NA
village	village	134010413	Rushaka III	NA
village	village	134010414	Rwemereire I	NA
village	village	134010415	Rwemereire II	NA
village	village	134010416	Ryakatumba	NA
village	village	134010501	Bukuuto	NA
village	village	134010502	Kagorogoro	NA
village	village	134010503	Kigarama Lower	NA
village	village	134010504	Kigarama T/C	NA
village	village	134010505	Kigarama Upper	NA
village	village	134010506	Nyakatete I	NA
village	village	134010507	Nyakatete II	NA
village	village	134010508	Nyakatete III	NA
village	village	134010509	Rwamabaare Lower	NA
village	village	134010510	Rwamabaare Upper	NA
village	village	134010601	Bigyera	NA
village	village	134010602	Kashaka I	NA
village	village	134010603	Kashaka II	NA
village	village	134010604	Kyeikucu I	NA
village	village	134010605	Kyeikucu II	NA
village	village	134010606	Nyakatokye I	NA
village	village	134010607	Nyakatokye II	NA
village	village	134010608	Rugazi I	NA
village	village	134010609	Rugazi II	NA
village	village	134020101	Bubaare	NA
village	village	134020102	Bufunda I A	NA
village	village	134020103	Bufunda I B	NA
village	village	134020104	Bufunda II	NA
village	village	134020105	Bufunda Street	NA
village	village	134020106	Kabaruka	NA
village	village	134020107	Kafunjo	NA
village	village	134020108	Kanyinampeta	NA
village	village	134020109	Kyabarende	NA
village	village	134020110	Kyabashambo	NA
village	village	134020111	Kyabugaija Lower	NA
village	village	134020112	Kyabugaija Upper	NA
village	village	134020113	Kyamoshe	NA
village	village	134020114	Kyegwisa	NA
village	village	134020115	Mpiira Street	NA
village	village	134020201	Kafunjo I	NA
village	village	134020202	Kafunjo II	NA
village	village	134020203	Kafunjo III	NA
village	village	134020204	Katongore I	NA
village	village	134020205	Katongore II	NA
village	village	134020206	Kayonza	NA
village	village	134020207	Sigirira I	NA
village	village	134020208	Sigirira II	NA
village	village	134020301	Kahungye	NA
village	village	134020302	Kategure	NA
village	village	134020303	Kayenje I	NA
village	village	134020304	Kayenje II	NA
village	village	134020305	Kemitoojo	NA
village	village	134020306	Kyaruhimbi	NA
village	village	134020307	Ntungamo	NA
village	village	134020308	Nyabuhikye T/C	NA
village	village	134020309	Nyabwegarika	NA
village	village	134020310	Nyanga	NA
village	village	134020311	Ruyonza I	NA
village	village	134020312	Rwobuhungye	NA
village	village	134020401	Kikoni Central	NA
village	village	134020402	Kikoni East	NA
village	village	134020403	Kikoni I	NA
village	village	134020404	Kikoni II	NA
village	village	134020405	Rwemirama I	NA
village	village	134020406	Rwemirama II	NA
village	village	134020407	Rweseta	NA
village	village	134020501	Bukuto II	NA
village	village	134020502	Karushambya	NA
village	village	134020503	Kibarama I	NA
village	village	134020504	Kibarama II	NA
village	village	134020505	Kibirizi	NA
village	village	134020506	Kyenturegye	NA
village	village	134020507	Nsasi T/C	NA
village	village	134020508	Nyakakiri	NA
village	village	134020509	Rwamanyonyi Upper	NA
village	village	134020601	Bwentaama	NA
village	village	134020602	Kabagoma I	NA
village	village	134020603	Kabagoma II	NA
village	village	134020604	Kagando	NA
village	village	134020605	Kibaare	NA
village	village	134020606	Kigyera	NA
village	village	134020607	Mabanga	NA
village	village	134020608	Ndoragi I	NA
village	village	134020609	Ndoragi II	NA
village	village	134020610	Nyamirima Lower	NA
village	village	134020611	Nyamirima Upper	NA
village	village	134020612	Rwemirabyo	NA
village	village	134020613	Rwentsinga	NA
village	village	134020701	Akaibumba	NA
village	village	134020702	Kareere I	NA
village	village	134020703	Kareere II	NA
village	village	134020704	Katete	NA
village	village	134020705	Nyakabungo I	NA
village	village	134020706	Nyakabungo II	NA
village	village	134020707	Ruyonza Middle	NA
village	village	134020708	Rwamanyonyi Lower	NA
village	village	134020801	Kankambwe I	NA
village	village	134020802	Kankambwe II	NA
village	village	134020803	Katembe	NA
village	village	134020804	Ruyomba	NA
village	village	134020805	Rwobuzizi I	NA
village	village	134020806	Rwobuzizi II	NA
village	village	134020807	Rwobuzizi III	NA
village	village	134030101	Embaho	NA
village	village	134030102	Igorora	NA
village	village	134030103	Kanyeganyegye	NA
village	village	134030104	Kyarukumba II	NA
village	village	134030105	Ntungamo I	NA
village	village	134030106	Ntungamo II	NA
village	village	134030201	Kigando I	NA
village	village	134030202	Kigando II	NA
village	village	134030203	Kigando III	NA
village	village	134030204	Ngango I	NA
village	village	134030205	Ngango II	NA
village	village	134030206	Ngango III	NA
village	village	134040101	Birongo II	NA
