variable	variable2	values	mappedTerm	ordinalValue
parish	parish	1020902	Fuda	NA
parish	parish	1020903	Ibibiaworo	NA
parish	parish	1020904	Lewa	NA
parish	parish	1020905	Meliaderi	NA
parish	parish	1020906	Melijo	NA
parish	parish	1020907	Pereci	NA
parish	parish	1021001	Ataboo Ward	NA
parish	parish	1021002	Central Ward	NA
parish	parish	1021003	Nyivura Ward	NA
parish	parish	1021004	Pereci Ward	NA
parish	parish	1021101	Ayiri	NA
parish	parish	1021102	Gulinya	NA
parish	parish	1021103	Kiraba	NA
parish	parish	1021104	Maaji	NA
parish	parish	1021105	Payaru	NA
parish	parish	1030101	Kulaka	NA
parish	parish	1030102	Labwa	NA
parish	parish	1030103	Lalal	NA
parish	parish	1030104	Lapyem	NA
parish	parish	1030105	Ligiligi	NA
parish	parish	1030106	Ngekidi	NA
parish	parish	1030107	Orina	NA
parish	parish	1030201	Agago Central Ward	NA
parish	parish	1030202	Ajali Ward	NA
parish	parish	1030203	Ngora Ward	NA
parish	parish	1030204	Pampara Ward	NA
parish	parish	1030301	Achol-Pii	NA
parish	parish	1030302	Agelec	NA
parish	parish	1030303	Alela	NA
parish	parish	1030304	Kazikazi	NA
parish	parish	1030401	Akado Ward	NA
parish	parish	1030402	Alupere Ward	NA
parish	parish	1030403	Kubwor Ward	NA
parish	parish	1030404	Oret Ward	NA
parish	parish	1030405	Town Ward	NA
parish	parish	1030501	Apobo	NA
parish	parish	1030502	Lukee	NA
parish	parish	1030503	Ogong	NA
parish	parish	1030504	Olyelo Widyel	NA
parish	parish	1030505	Omatowee	NA
parish	parish	1030506	Otek	NA
parish	parish	1030601	Ojur	NA
parish	parish	1030602	Otaka	NA
parish	parish	1030603	Paicam	NA
parish	parish	1030604	Polcani	NA
parish	parish	1030701	Amyel	NA
parish	parish	1030702	Lapono-Muk	NA
parish	parish	1030703	Lira-Kaket	NA
parish	parish	1030704	Lira-Kato	NA
parish	parish	1030705	Ogole	NA
parish	parish	1030801	Ademi	NA
parish	parish	1030802	Agengo	NA
parish	parish	1030803	Lanyirinyiri	NA
parish	parish	1030804	Lutome	NA
parish	parish	1030805	Omongo	NA
parish	parish	1030901	Abone Gang Kal Ward	NA
parish	parish	1030902	Bulotwomo Ward	NA
parish	parish	1030903	Lapilyet Ward	NA
parish	parish	1030904	Pyergweng Ward	NA
parish	parish	1031001	Kiteny	NA
parish	parish	1031002	Ladere	NA
parish	parish	1031003	Ngudi	NA
parish	parish	1031004	Ngwero	NA
parish	parish	1031005	Olung	NA
parish	parish	1031006	Otumpili	NA
parish	parish	1031101	Laita	NA
parish	parish	1031102	Lakwa	NA
parish	parish	1031103	Lojim	NA
parish	parish	1031104	Lomoi	NA
parish	parish	1031201	Atece	NA
parish	parish	1031202	Awonodwe	NA
parish	parish	1031203	Latinling	NA
parish	parish	1031204	Tenge	NA
parish	parish	1031301	Mutto	NA
parish	parish	1031302	Ngora	NA
parish	parish	1031303	Pacabol	NA
parish	parish	1031304	Taa	NA
parish	parish	1031401	Pabala	NA
parish	parish	1031402	Pacer	NA
parish	parish	1031403	Pakor	NA
parish	parish	1031404	Parumu	NA
parish	parish	1031501	Kal	NA
parish	parish	1031502	Lakwa	NA
parish	parish	1031503	Lukwangole	NA
parish	parish	1031504	Odongkiwinyo	NA
parish	parish	1031601	Akomo Ward	NA
parish	parish	1031602	Forest Ward	NA
