variable	variable2	values	mappedTerms	valueOrder
ext_crypt_cs_il1b::specdt	ext_crypt_cs_il1b::specdt	NA	NA	
ext_crypt_cs_il4::aged	ext_crypt_cs_il4::aged	NA	NA	
ext_crypt_cs_il4::specdt	ext_crypt_cs_il4::specdt	NA	NA	
ext_crypt_cs_lm::aged	ext_crypt_cs_lm::aged	NA	NA	
ext_crypt_cs_lm::specdt	ext_crypt_cs_lm::specdt	NA	NA	
ext_crypt_cs_mpo_infant::aged	ext_crypt_cs_mpo_infant::aged	NA	NA	
ext_crypt_cs_mpo_infant::specdt	ext_crypt_cs_mpo_infant::specdt	NA	NA	
ext_crypt_cs_mpo_mother::specdt	ext_crypt_cs_mpo_mother::specdt	NA	NA	
ext_crypt_cs_mpo_mother::visit	ext_crypt_cs_mpo_mother::visit	NA	NA	
ext_crypt_cs_polio_sna::sabin.1	ext_crypt_cs_polio_sna::sabin.1	NA	NA	
ext_crypt_cs_polio_sna::sabin.2	ext_crypt_cs_polio_sna::sabin.2	NA	NA	
ext_crypt_cs_polio_sna::sabin.3	ext_crypt_cs_polio_sna::sabin.3	NA	NA	
ext_crypt_cs_polio_sna::seranum	ext_crypt_cs_polio_sna::seranum	NA	NA	
ext_crypt_cs_reg1b_infant::aged	ext_crypt_cs_reg1b_infant::aged	NA	NA	
ext_crypt_cs_reg1b_infant::specdt	ext_crypt_cs_reg1b_infant::specdt	NA	NA	
ext_crypt_cs_reg1b_mother::specdt	ext_crypt_cs_reg1b_mother::specdt	NA	NA	
ext_crypt_cs_reg1b_mother::visit	ext_crypt_cs_reg1b_mother::visit	NA	NA	
ext_crypt_cs_retinol::aged	ext_crypt_cs_retinol::aged	NA	NA	
ext_crypt_cs_retinol::specdt	ext_crypt_cs_retinol::specdt	NA	NA	
ext_crypt_cs_scd14::aged	ext_crypt_cs_scd14::aged	NA	NA	
ext_crypt_cs_scd14::specdt	ext_crypt_cs_scd14::specdt	NA	NA	
ext_crypt_cs_sspa::specdt	ext_crypt_cs_sspa::specdt	NA	NA	
ext_crypt_cs_sspa::visit	ext_crypt_cs_sspa::visit	NA	NA	
ext_crypt_cs_stool_iga_month12::aged	ext_crypt_cs_stool_iga_month12::aged	NA	NA	
ext_crypt_cs_stool_iga_month12::specdt	ext_crypt_cs_stool_iga_month12::specdt	NA	NA	
ext_crypt_cs_stool_iga_month4::aged	ext_crypt_cs_stool_iga_month4::aged	NA	NA	
ext_crypt_cs_stool_iga_month4::specdt	ext_crypt_cs_stool_iga_month4::specdt	NA	NA	
ext_crypt_cs_tac::dsno	ext_crypt_cs_tac::dsno	NA	NA	
ext_crypt_cs_zn::aged	ext_crypt_cs_zn::aged	NA	NA	
ext_crypt_cs_zn::specdt	ext_crypt_cs_zn::specdt	NA	NA	
ext_crypt_ctreat::dov	ext_crypt_ctreat::dov	NA	NA	
ext_crypt_ctreat::enddate1	ext_crypt_ctreat::enddate1	NA	NA	
ext_crypt_ctreat::enddate2	ext_crypt_ctreat::enddate2	NA	NA	
ext_crypt_ctreat::enddate4	ext_crypt_ctreat::enddate4	NA	NA	
ext_crypt_ctreat::enddate5	ext_crypt_ctreat::enddate5	NA	NA	
ext_crypt_ctreat::enddate6	ext_crypt_ctreat::enddate6	NA	NA	
ext_crypt_ctreat::other	ext_crypt_ctreat::other	NA	NA	
ext_crypt_ctreat::temp	ext_crypt_ctreat::temp	NA	NA	
