category	dataFile	id
participant	ext_crypto_ms_rt_3000	{{p}}+pid
participant_repeated_measures	ext_crypto_ms_rt_3000	{{prm}}+pid+doc
samples	ext_crypto_ms_rt_3000	{{s}}+pid+doc
household	ext_crypto_mscr_2000	{{h}}+pid
participant	ext_crypto_mscr_2000	{{p}}+pid
household	ext_crypto_scr7mo_3000	{{h}}+pid
household	ext_crypto_ses_2000	{{h}}+pid
household_repeated_measures	ext_crypto_ses_2000	{{hrm}}+pid+doi
participant	ext_crypto_ses_2000	{{p}}+pid
household	ext_crypto_ses_3000	{{h}}+pid
household_repeated_measures	ext_crypto_ses_3000	{{hrm}}+pid+doi
participant	ext_crypto_ses_3000	{{p}}+pid
